D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  5/16;9 15/16;;10  7/16;;10 15/16;;11  7/16;;11 15/16;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;19 1/2;;21;;22 1/2;;24;;25 1/2;;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;19  1/16;;20  9/16;;22  1/16;;23  9/16;;25  1/16;;;;;;;;;;;;;;
G;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;29  9/16;;30  9/16;;31  9/16;;32  9/16;;33  9/16;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;4 3/8;;4  5/8 ;;4  7/8 ;;5  1/8 ;;5  3/8 ;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  5/16;  5/16;17;;17  3/4 ;;18  1/2 ;;19  1/4 ;;20;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  5/16;8 5/8;;9 1/8;;9 5/8;;10 1/8;;10 5/8;;;;;;;;;;;;;;
L;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  3/16;  1/4 ;28  3/16;;29  3/16;;30  3/16;;31  3/16;;32  3/16;;;;;;;;;;;;;;
M;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;9  5/16;;9 11/16;;10  1/16;;10  7/16;;10 13/16;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;18  5/16;;19  1/16;;19 15/16;;20 11/16;;21  7/16;;;;;;;;;;;;;;
Ñ;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;12 15/16;;13 13/16;;14 11/16;;15  7/16;;16  3/16;;;;;;;;;;;;;;
O;LARGO DE CUELLO;;P;CRITICA;  3/16;  3/16;18  1/16;;19;;19 15/16;;20 13/16;;21 3/4;;;;;;;;;;;;;;
P;ANCHO DE CUELLO;;P;CRITICA;  3/16;  3/16;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;
Q;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;22 1/2;;23  5/16;;24  3/16;;25;;25 7/8;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;
S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
