D;SISA RECTA ESPALDA ;;P;CRITICAL;;;;;7  7/16;;8  1/8 ;;8 13/16;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPAL. Y DELANT.  EN PUNTA SISA;;P;CRITICAL;  3/8 ;  3/8 ;;;23  3/16;;25  3/16;;27  3/16;;;;;;;;;;;;;;;;;;;
F;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICAL;;;;;10  1/2 ;;10  1/2 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;
G;ANCHO DE CINTURA ESPALDA Y DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;23      ;;25      ;;27      ;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDÓN ESPALDA Y DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;25  3/16;;27  3/16;;29  3/16;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;;  1/4 ;;;22  3/4 ;;23  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO DELANTERO;;P;CRITICAL;;  1/4 ;;;24  5/16;;24 13/16;;25  5/16;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO ;;P;CRITICAL;;;;;11  5/8 ;;12  1/8 ;;12  5/8 ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO ;;P;CRITICAL;;;;;1 15/16;;2      ;;2  1/16;;;;;;;;;;;;;;;;;;;
M;SISA RECTA DELANTERO ;;P;CRITICAL;;;;;6 13/16;;7  7/16;;8  1/8 ;;;;;;;;;;;;;;;;;;;
O;UBICACIÓN DE CINTURA DELANTERO;;P;CRITICAL;;;;;11  3/8 ;;11  3/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA DE SISA;;C;CRITICAL;;;;;30  3/4 ;;32  3/8 ;;34  1/8 ;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA DE SISA;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA DE ESCOTE FRENTE;;C;CRITICAL;;;;;19  1/8 ;;19  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA DE ESCOTE FRENTE ;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;;;17  5/8 ;;18  1/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
