B;ANCHO DE PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;19  3/16;;20  3/16;;21  3/16;;22 11/16;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;15  3/16;;15 11/16;;16  3/16;;16 11/16;;17  7/16;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  3/8 ;;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  5/8 ;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;9  5/16;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  3/4 ;;5  7/8 ;;6      ;;6  1/8 ;;6  1/4 ;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA CENTRO;;P;CRITICA;  5/16;  1/4 ;23  1/2 ;;23  7/8 ;;24  1/4 ;;24  5/8 ;;25      ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICA;  3/8 ;  3/8 ;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/16;;7  9/16;;8  1/16;;8  9/16;;9  5/16;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA MITAD;;P;CRITICA;;;4 13/16;;4 15/16;;5  1/8 ;;5  1/4 ;;5  7/16;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PECHO ESPALDA MISTAD;;P;CRITICA;  3/8 ;  3/8 ;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  3/4 ;;;;;;;;;;;;;;;;;;;
C1;ANCHO FALDON ESPALDA  MITAD;;P;CRITICA;  3/8 ;  3/8 ;9 15/16;;10  7/16;;10 15/16;;11  7/16;;12  3/16;;;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;13  3/16;;14  1/4 ;;15  5/16;;16  7/8 ;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  1/8 ;;13      ;;14      ;;15      ;;16  7/16;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA DE CUELLO ;;C;CRITICA;;;31      ;;31  3/4 ;;32  1/2 ;;33  1/4 ;;34      ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA DE CUELLO ;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
