N;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;
Ñ;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;;;;;;;;;;;;;;;
O;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  7/8;;17  5/8;;18  3/8;;19  1/8;;19  7/8;;20  5/8;;;;;;;;;;;;;;;;
P;ANCHO DE BICEP EN LA PUNTA;;P;CRITICA;  3/8 ;  3/8 ;17  3/8;;17  7/8;;18  5 /8;;19  5/8;;20  5/8;;21  5/8;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;26  1/8;;26  1/2 ;;26  7/8;;27  1/4;;27  5/8;;28      ;;;;;;;;;;;;;;;;
R;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;10;;10  1 /4;;10 5/8;;11 1/8;;11 3/4;;12 1/4;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO;;C;CRITICA;;;17 7/8;;18 5/8;;19 3/8;;20 1/8;;20 7/8;;21 5/8;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO ;;C;CRITICA;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE;;C;CRITICA;;;13 1/4;;13 1/2;;13 3/4;;14;;14  1 /4;;14 1/2;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;
