B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;15      ;;15  1/2 ;;16  1/8 ;;16  7/8 ;;17  1/4 ;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  3/8 ;;16  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7  1/2 ;;8      ;;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20  1/4 ;;22      ;;23      ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;;;21      ;;22      ;;23      ;;24  1/4 ;;26      ;;27      ;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29      ;;29  1/2 ;;30      ;;30  5/8 ;;31  1/4 ;;31  5/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;4 13/16;;4 15/16;;5      ;;5  3/16;;5  7/16;;5  9/16;;;;;;;;;;;;;;;;;
Z1;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;6  1/8 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;2  3/4 ;;3      ;;3  1/8 ;;3  1/4 ;;3  1/2 ;;3  5/8 ;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  3/4 ;;16  3/8 ;;16  3/4 ;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  5/8 ;;13  1/8 ;;13  5/8 ;;14  1/4 ;;14  7/8 ;;15  1/4 ;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6 13/16;;7  1/4 ;;7 11/16;;8  1/16;;8  7/16;;8  3/4 ;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;28  1/4 ;;28  3/4 ;;29  1/4 ;;29  7/8 ;;30  1/2 ;;30  7/8 ;;;;;;;;;;;;;;;;;
F1;LARGO DE TAJO;;P;CRITICA;;;4  1/2 ;;4  1/2 ;;4  1/2 ;;4  1/2 ;;4  1/2 ;;4  1/2 ;;;;;;;;;;;;;;;;;
K1;ANCHO DE TAJO;;P;CRITICA;;;  7/16;;  7/16;;  7/16;;  7/16;;  7/16;;  7/16;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;18  3/4 ;;19  1/8 ;;19  3/8 ;;19  5/8 ;;19  7/8 ;;20      ;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;12  1/2 ;;13  1/4 ;;14      ;;14  3/4 ;;15  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10  7/16;;11      ;;11  1/2 ;;12      ;;12  3/4 ;;13  3/8 ;;;;;;;;;;;;;;;;;
U;"ANCHO DE MANGA A 3"" DE CABEZA DE MANGA";;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;9      ;;9  3/8 ;;;;;;;;;;;;;;;;;
V;LARGO CUELLO EXTERIOR;;C;CRITICA;;;14  3/8 ;;15  1/8 ;;15  7/8 ;;16  5/8 ;;17  3/8 ;;17  3/4 ;;;;;;;;;;;;;;;;;
Y;LARGO CUELLO INTERIOR;;C;CRITICA;;;14  5/8 ;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  5/8 ;;18      ;;;;;;;;;;;;;;;;;
W;ALTO DE  CUELLO EXTERIOR E INTERIOR  EN CENTRO;;C;CRITICA;;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;2 15/16;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO EXTERIOR E INTERIOR  EN PUNTA;;C;CRITICA;;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;3  1/16;;;;;;;;;;;;;;;;;
B1;LARGO DE BANDA EXTERIOR E INTERIOR;;C;CRITICA;;;14  1/2 ;;15  1/4 ;;16      ;;16  3/4 ;;17  1/2 ;;17  7/8 ;;;;;;;;;;;;;;;;;
C1;ALTO DE BANDA EXTERIOR E INTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;
D1;LARGO DE PECHERA SUPERIOR E INFERIOR (lado más largo);;C;CRITICA;;;7  5/16;;7  5/16;;7  5/16;;7  5/16;;7  5/16;;7  5/16;;;;;;;;;;;;;;;;;
E1;ANCHO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
