B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17      ;;17  1/4 ;;17  3/4 ;;18  1/4 ;;18  3/4 ;;19  3/8 ;;20      ;;20  3/8 ;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;8  9/16;;8  7/8 ;;9  5/16;;9 13/16;;10  5/16;;10 13/16;;11  5/16;;11 13/16;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  5/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;24  5/8 ;;25  7/8 ;;27  1/8 ;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  3/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  3/8 ;;25  5/8 ;;26  7/8 ;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  1/8 ;;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  7/8 ;;29  1/8 ;;30  3/8 ;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;7      ;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  9/16;;3  9/16;;3 13/16;;3 13/16;;4  1/8 ;;4  1/8 ;;4  5/16;;4  5/16;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 11/16;;16 15/16;;17  7/16;;17 15/16;;18  7/16;;19  1/16;;19 11/16;;20  1/16;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;7  5/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  3/8 ;;24  5/8 ;;25  1/8 ;;25  5/8 ;;26  1/8 ;;27  1/8 ;;28  3/8 ;;29  5/8 ;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;10 11/16;;10 13/16;;11  1/16;;11  5/16;;11  9/16;;11  3/4 ;;11 15/16;;12  1/4 ;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;14  7/16;;14 15/16;;16  1/4 ;;17  3/8 ;;18  3/8 ;;19  7/16;;20 13/16;;22  1/8 ;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  7/16;;13 15/16;;15  1/16;;16  1/8 ;;17  1/8 ;;18  3/16;;19  5/16;;20  7/16;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;16  3/8 ;;16  9/16;;17  1/4 ;;17  5/8 ;;18  1/4 ;;18 11/16;;19  3/16;;19  9/16;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;2  3/16;;;;;;;;;;;
Y;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;22  7/16;;22 11/16;;23  3/16;;23 11/16;;24  3/16;;24 15/16;;25  9/16;;25 15/16;;;;;;;;;;;
Z;ALTO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
