C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;31  1/2 ;;33  1/2 ;;35  1/2 ;;37  1/2 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;22      ;;23      ;;23  3/4 ;;24  1/4 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  3/8 ;9  3/4 ;;10  5/16;;10 15/16;;11  1/2 ;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  1/8 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;
I;"ANCHO DE MEDIO PECHO A 8 1/4"" DESDE HPS";;P;CRITICA;  7/16;  7/16;20  3/8 ;;21  3/8 ;;22  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;36  5/8 ;;37  1/8 ;;37  5/8 ;;38  1/8 ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;22  5/8 ;;23  5/8 ;;24  7/16;;24 15/16;;;;;;;;;;;;;;;;;;;
L;"ANCHO DE MEDIO ESPALDA A 9"" DESDE HPS";;P;CRITICA;  7/16;  7/16;20  7/8 ;;21  7/8 ;;22  5/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  7/16;10  1/2 ;;11  1/16;;11 11/16;;12  1/8 ;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  3/16;;8  9/16;;8 15/16;;9  5/16;;;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/4 ;;1  3/4 ;;1 15/16;;1 15/16;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;11  7/16;;11 11/16;;11 15/16;;11 15/16;;;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;21  3/16;;22  5/8 ;;24  1/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;19 13/16;;20  3/4 ;;21 11/16;;22  9/16;;;;;;;;;;;;;;;;;;;
S;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;
W;LARGO DE PECHERA ;;C;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL ESPALDA;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
Z;ABERTURA LATERAL DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;19      ;;20      ;;21      ;;22      ;;;;;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO ;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;23  1/2 ;;24  1/2 ;;25  1/2 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR;;C;CRITICA;;;23  1/2 ;;24  1/2 ;;25  1/2 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;
A6;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;
;MEDIDAS ADICIONALES PARA DELANTEROS CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;
W1;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
X1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;
