H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  1/8 ;;25  7/8 ;;26  7/8 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  5/8 ;;29  1/8 ;;29  5/8 ;;30  1/4 ;;30  7/8 ;;31  1/4 ;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7  5/8 ;;7  7/8 ;;8      ;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  3/8 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;17  1/4 ;;17  5/8 ;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  7/8 ;;28  3/8 ;;28  7/8 ;;29  1/2 ;;30  1/8 ;;30  1/2 ;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;19      ;;19  1/4 ;;19  5/8 ;;19  7/8 ;;20  1/4 ;;20  3/8 ;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13  1/8 ;;13  7/8 ;;14  5/8 ;;15  3/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  7/8 ;;10  3/16;;10  1/2 ;;10  3/4 ;;11  1/8 ;;11  3/8 ;;;;;;;;;;;;;;;
V;LARGO DE CUELLO EN BORDE ;;C;CRITICA;;;17 13/16;;18  9/16;;19  1/8 ;;19  5/8 ;;20  1/2 ;;20  7/8 ;;;;;;;;;;;;;;;
X;LARGO DE CUELLO EN CENTRO;;C;CRITICA;;;17  7/16;;18  1/8 ;;18  3/4 ;;19  1/4 ;;20  1/8 ;;20  1/2 ;;;;;;;;;;;;;;;
W;ALTO DE CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICA;;;13  1/4 ;;13  1/2 ;;13  3/4 ;;14      ;;14  1/4 ;;14  7/16;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
Z1;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
