B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;30  1/8 ;;32  1/8 ;;34  1/8 ;;36  1/8 ;;38  1/8 ;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;30  1/4 ;;32  1/4 ;;34  1/4 ;;36  1/4 ;;38  1/4 ;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE FALDON ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;29  7/8 ;;31  7/8 ;;33  7/8 ;;35  7/8 ;;37  7/8 ;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/2 ;  1/2 ;22  3/4 ;;23  3/4 ;;24  1/2 ;;25      ;;25  1/2 ;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  1/2 ;;8  7/8 ;;9  1/4 ;;9  5/8 ;;10      ;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  1/8 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16;  1/4 ;36  7/8 ;;37  3/8 ;;37  7/8 ;;38  3/8 ;;38  7/8 ;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;23  1/8 ;;24  1/8 ;;24  7/8 ;;25  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;10  3/8 ;;10  3/4 ;;11  1/4 ;;11  3/4 ;;12  3/16;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8 15/16;;9  5/16;;9 11/16;;10  1/16;;10  7/16;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/8 ;;1  7/8 ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;29  9/16;;29 13/16;;30  1/16;;30  5/16;;30  9/16;;;;;;;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;22  1/8 ;;23  9/16;;24  7/8 ;;26  1/8 ;;27  9/16;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  7/16;;13      ;;13  1/2 ;;14  1/16;;14  5/8 ;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;20  7/8 ;;21 13/16;;22  5/8 ;;23  3/8 ;;24  5/16;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUELLO EN CENTRO;;C;CRITICA;;;20  9/16;;21  7/16;;22  1/4 ;;23  1/16;;24      ;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14  7/8 ;;15  1/4 ;;15 11/16;;16  1/16;;16  1/2 ;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
