B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  3/8 ;;;;3  5/8 ;;;;3  3/4 ;;;;4      ;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;19  7/8 ;;;;20  7/8 ;;;;21  7/8 ;;;;22  7/8 ;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;24  5/16;;;;26  5/16;;;;28  5/16;;;;30  5/16;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;8  3/8 ;;;;8  5/8 ;;;;8  7/8 ;;;;9  1/8 ;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;24      ;;;;26      ;;;;28      ;;;;30      ;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;34  3/16;;;;35  3/16;;;;36  3/16;;;;37  3/16;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6  5/8 ;;;;7      ;;;;7  3/8 ;;;;7  3/4 ;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  5/16;;;;1  5/16;;;;1  7/16;;;;1  9/16;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;20  5/8 ;;;;21  5/8 ;;;;22  5/8 ;;;;23  5/8 ;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;9      ;;;;9  3/16;;;;9  7/16;;;;9 11/16;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;34 15/16;;;;35 15/16;;;;36 15/16;;;;37 15/16;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;11  9/16;;;;11 13/16;;;;12  1/8 ;;;;12  5/16;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18      ;;;;18  7/8 ;;;;19  7/8 ;;;;20  7/8 ;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;15  5/16;;;;16  5/16;;;;17  3/8 ;;;;18  7/16;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  9/16;;;;5  9/16;;;;5  9/16;;;;5  9/16;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  5/16;;;;8  5/16;;;;8  5/16;;;;8  5/16;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3  3/4 ;;;;3  3/4 ;;;;3  3/4 ;;;;3  3/4 ;;;;;;;;;;;;;
R;LARGO DE BOLSILLO CENTRO;;C;CRITICA;  3/8 ;;5      ;;;;5      ;;;;5  1/4 ;;;;5  1/4 ;;;;;;;;;;;;;
S;ANCHO DE BOLSILLO;;C;CRITICA;  3/8 ;  3/8 ;5  1/4 ;;;;5  1/4 ;;;;5  1/2 ;;;;5  1/2 ;;;;;;;;;;;;;
T;LARGO DE BOLSILLO LATERAL;;C;CRITICA;  3/8 ;  3/8 ;4  1/8 ;;;;4  1/8 ;;;;4  3/8 ;;;;4  3/8 ;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;;;10      ;;;;10      ;;;;11      ;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;19  1/4 ;;;;20  1/4 ;;;;21  1/4 ;;;;22  1/4 ;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;22  7/8 ;;;;23  7/8 ;;;;24  3/4 ;;;;25  3/4 ;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;
3;ANCHO DE VISTA BOLSILLO RECTILINEO;;C;CRITICA;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;;;;;;;;;;
4;LARGO DE VISTA BOLSILLO RECTILINEO;;C;CRITICA;;;4  7/8 ;;;;4  7/8 ;;;;5  1/8 ;;;;5  1/8 ;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;14  1/2 ;;;;15  1/2 ;;;;16  1/2 ;;;;17  1/2 ;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;16  3/4 ;;;;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;;;;;;;;;;;
8;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;;;;;;;;;;
9;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;;;3      ;;;;3      ;;;;3      ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
