C;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14 15/16;;15  7/16;;15 15/16;;16  7/16;;17  3/16;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO IDIVIDUAL;;P;CRITICA;;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO DELANTERO  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  9/16;;19  9/16;;20  9/16;;21  9/16;;23  1/16;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;26 11/16;;27  3/16;;27 11/16;;28  3/16;;28 11/16;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;21 13/16;;22 13/16;;23 13/16;;24 13/16;;26  5/16;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;3  9/16;;3  3/4 ;;3 15/16;;4  1/8 ;;4  3/16;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/4 ;;7  3/4 ;;8  3/16;;8 11/16;;9  7/16;;;;;;;;;;;;;;;;;;
K;ANCHO DE PECHO ESPALDA;;P;CRITICA;  1/2 ;  3/8 ;9  3/4 ;;10  1/4 ;;10  3/4 ;;11  1/4 ;;12  1/16;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  5/8 ;;29  1/8 ;;29  5/8 ;;30  1/8 ;;30  5/8 ;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON  ESPALDA ;;P;CRITICA;  1/2 ;  3/8 ;12  5/8 ;;13  1/8 ;;13  1/2 ;;13 15/16;;14  5/8 ;;;;;;;;;;;;;;;;;;
N;LARGO DE ABERTURA DE ESPALDA HASTA PIQUETE;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;
O;LARGO DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;4  1/2 ;;4  3/4 ;;5      ;;5  1/4 ;;5  1/2 ;;;;;;;;;;;;;;;;;;
P;ANCHO DE BICEP;;P;CRITICA;  3/8 ;  3/8 ;14 11/16;;15  7/16;;16  3/16;;16 15/16;;18  1/2 ;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE ANGA;;P;CRITICA;  3/8 ;  3/8 ;13  1/4 ;;14      ;;14  3/4 ;;15  1/2 ;;16  1/2 ;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;28  1/2 ;;29  1/4 ;;30      ;;30  3/4 ;;31  1/2 ;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARTETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  7/16;;12 15/16;;13  7/16;;13 15/16;;14 11/16;;;;;;;;;;;;;;;;;;
3;LARGO DE ABERURA ESPALDA INFERIOIR HASTA PIQUETE;;P;CRITICA;;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
