D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ; 3/8;19 3/4;;20 1/8;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA; 3/8; 1/4;10 3/8;;11 1/4;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA; 3/8; 1/4;11 1/8;;11 7/8;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA; 3/8; 3/8;25 1/2;;27 1/4;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA; 3/8; 3/8;26 1/8;;27 7/8;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;8 7/8;;9 1/8;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;4 1/8;;4 3/8;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;9 3/8;;9 5/8;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;1    ;;1 1/8;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;;;10 1/4;;10 1/2;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN BICEP;;P;CRITICA;;;21    ;;22 3/4;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;;;20    ;;21 5/8;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE BOLSILLO;;P;CRITICA;;;6 3/8;;6 3/8;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOLSILLO;;C;CRITICA;;;5 1/2;;5 1/2;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;24 1/2;;24 7/8;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;1    ;;1    ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO;;C;CRITICA;;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO;;C;CRITICA;;;20 5/8;;21 3/8;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
