R;LARGO DE MANGA;;P;CRITICA;;;27.1;;27.8;;28.5;;29.2;;29.9;;30.6;;31.3;;32.0;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;;;45.1;;46.5;;48.3;;50.1;;51.9;;55.0;;58.0;;61.1;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;39.7;;41.0;;42.6;;44.3;;45.9;;48.3;;50.7;;53.0;;;;;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;40.5;;40.5;;43.0;;43.0;;45.5;;45.5;;48.0;;48.0;;;;;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;9.0;;9.0;;9.0;;9.0;;9.0;;9.5;;9.5;;9.5;;;;;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.3;;6.3;;6.3;;6.3;;6.2;;6.7;;6.7;;6.7;;;;;;;;;;;
X;LARGO DE TAPETE CUELLO;;C;CRITICA;;;57.4;;57.4;;59.9;;59.9;;62.4;;62.4;;65.0;;65.0;;;;;;;;;;;
Y;ALTO DE TAPETE CUELLO;;C;CRITICA;;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;;;;;;;;;;
B1;LARGO DE TAJO PECHERA;;P;CRITICA;;;17.4;;17.4;;17.4;;17.4;;17.4;;17.4;;17.4;;17.4;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
