C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18      ;;19      ;;19  7/8 ;;20  7/8 ;;22  1/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;11  5/16;;11  9/16;;11 13/16;;12  1/16;;12  5/16;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9  3/16;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;4  3/4 ;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  1/2 ;;26      ;;26  1/2 ;;27      ;;27  1/2 ;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;11 11/16;;11 15/16;;12  3/16;;12  7/16;;12 11/16;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;7  3/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  1/2 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/8 ;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;;
M;LARGO DE CUELLO;;C;CRITICA;  3/8 ;  1/4 ;18  5/8 ;;19  3/8 ;;20      ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;  3/8 ;  3/8 ;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
O;LARGO DE COLLARETA SISA(DISP);;C;CRITICA;  3/8 ;  3/8 ;21  3/8 ;;22  5/8 ;;23  7/8 ;;25  1/8 ;;27      ;;;;;;;;;;;;;;;;;
P;ALTO DE COLLARETA SISA(DISPO);;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
Q;LARGO DE TAPETE;;C;CRITICA;;;12  7/8 ;;13  1/4 ;;13  1/2 ;;13  7/8 ;;14  1/4 ;;;;;;;;;;;;;;;;;
R;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA PECHERA;;C;CRITICA;;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;;;;;;;;;;;;;;;;
T;ANCHO DE COLLARETA PECHERA;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;10 11/16;;10 15/16;;11  3/16;;11  7/16;;11 11/16;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPLADA;;P;CRITICA;  3/8 ;  3/8 ;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;11  3/16;;11  7/16;;11 11/16;;11 15/16;;12  3/16;;;;;;;;;;;;;;;;;
5;LARGO DE TAJO EN DELANTERO;;P;CRITICA;;;7      ;;7      ;;7      ;;7      ;;7      ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
