F;SISA RECTA ESPALDA;;P;CRITICA;;;;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;29  1/8 ;;29  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO DELANTERO INFERIOR;;P;CRITICA;  5/16;  1/4 ;;;22  1/16;;21 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO CANESU DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;28  1/8 ;;29  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;;;7 11/16;;7 15/16;;;;;;;;;;;;;;;;;;;;;;;;;
K;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;;;3  9/16;;3 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
L;SISA RECTA EN CANESU;;P;CRITICA;;;;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE PECHO -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;27  1/8 ;;28  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;SISA RECTA EN DELANTERO INFERIOR;;P;CRITICA;;;;;6  3/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE CANESU;;P;CRITICA;  1/4 ;  5/16;;;6 15/16;;7  3/16;;;;;;;;;;;;;;;;;;;;ESCALADO COMO PIDE EL CLIENTE ;;;;;
Q;ANCHO DE CANESU DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;25  7/16;;27  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE DELANTERO SUPERIOR;;P;CRITICA;  3/8 ;  3/8 ;;;25  7/16;;27  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;;;21      ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE MANGA;;P;CRITICA;  3/8 ;  5/16;;;9  1/16;;9  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE MANGA INFERIOR;;P;CRITICA;  3/8 ;  3/8 ;;;19 13/16;;21  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE PIEZA MANGA 1 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;19 13/16;;21  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE PIEZA MANGA 1 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;19  7/16;;20  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE PIEZA MANGA  1;;P;CRITICA;  5/16;  5/16;;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE PIEZA MANGA 2 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;19  7/16;;20  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE PIEZA MANGA 2 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;19  3/16;;20  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
A1;ALTO DE PIEZA MANGA  2;;P;CRITICA;  5/16;  5/16;;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PIEZA MANGA 3 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;19  3/16;;20  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE PIEZA MANGA 3 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;18  3/4 ;;19  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
D1;ALTO DE PIEZA MANGA  3;;P;CRITICA;  5/16;  5/16;;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
E1;ANCHO DE MANGA INFERIOR(SUPERIOR);;P;CRITICA;  3/8 ;  3/8 ;;;18  3/4 ;;19  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
F1;ALTO DE MANGA INFERIOR ;;P;CRITICA;  5/16;  1/4 ;;;9  5/8 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
G1;ANCHO DE MANGA INFERIOR ;;P;CRITICA;  3/8 ;  3/8 ;;;13  3/4 ;;14  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
H1;LARGO DE CUELLO ;;C;CRITICA;;;;;17  3/8 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
I1;ALTO DE CUELLO RIB;;C;CRITICA;;;;;1 15/16;;1 15/16;;;;;;;;;;;;;;;;;;;;;;;;;
J1;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;;;34  3/8 ;;36  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
K1;ALTO DE TAPETE DE OMBRO A HOMBRO;;C;CRITICA;;;;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;27  3/8 ;;29  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
