U;ANCHO DE BANDA EXTERIOR;;C;CRITICA;;;;;17 3/8;;18 1/8;;18 7/8;;19 5/8;;20 5/8;;21 5/8;;22 7/8;;;;;;;;;;;
V;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;2;;2;;;;;;;;;;;
W;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;;;17 1/4;;18;;18 3/4;;19 1/2;;20 1/2;;21 1/2;;22 3/4;;;;;;;;;;;
X;ALTO DE BANDA  INTERIOR;;C;CRITICA;;;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 7/8;;1 7/8;;;;;;;;;;;
Y;ANCHO DE PECHERA ;;C;CRITICA;;;;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;;;;;;;;;;
Z;ALTO DE PECHERA;;C;CRITICA;;;;;12 1/8;;12 5/8;;12 5/8;;13 1/8;;13 1/8;;13 5/8;;13 5/8;;;;;;;;;;;
1;ANCHO DE VENTS;;C;CRITICA;;;;;8 1/2;;8 1/2;;8 1/2;;8 1/2;;8 1/2;;8 1/2;;8 1 /2;;;;;;;;;;;
2;ALTO DE VENTS;;C;CRITICA;;;;;1 1 /4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
