C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/16;17 1/2;;18 1/4;;19;;19 3/4;;20 1/2;;21 1/4;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;18 7/8;;19  5/8 ;;20  7/16;;21  3/16;;22      ;;22  11/16;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/16;7 1/2;;8;;8 1/2;;9;;9 9/16;;10 3/16;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/16;9 3/16;;9  5/8;;10   1/8;;10 5/8;;11  1/8;;11 3/4;;;;;;;;;;;;;;;
G;ANCHO PECHO EN PUNTA ;;P;CRITICA;  3/8 ;  3/16;21 5/8;;22 5/8;;24;;25 7/16;;27      ;;28 3/4;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/16;20  5/8;;21  5/8;;22   7/8;;24 3/8;;26      ;;27 3/4;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  7/16;;6 5/8;;7    ;;7 1/8;;7 3/8;;7 5/8;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;4 7/8;;5 1/16;;5 3/8;;5 9/16;;5 7/8;;6 1/16;;;;;;;;;;;;;;;
L;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;;;;;;;;;;;;;;
LL;ANCHO DE MEDIO PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/16;15  5/8 ;;16  3/8 ;;17  1/8 ;;17  7/8 ;;18 5/8;;19  3/8 ;;;;;;;;;;;;;;;
M;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7 3/4;;8;;8 1/4;;8 7/16;;8 3/4;;9;;;;;;;;;;;;;;;
N;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;1 9/16;;1 9/16;;1 9/16;;1 9/16;;1 9/16;;1 9/16;;;;;;;;;;;;;;;
Ñ;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;8 1/8;;;;;;;;;;;;;;;
O;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/16;16 7/8;;17 5/8;;18 3/8;;19 1/8;;19 7/8;;20 5/8;;;;;;;;;;;;;;;
P;ANCHO DE BICEP EN LA PUNTA;;P;CRITICA;  3/8 ;  3/16;17 1/8;;17 5/8;;18 7/16;;19 3/8;;20 7/16;;21 7/16;;;;;;;;;;;;;;;
Q;LARGO DE MANGA ;;P;CRITICA;;;9 5/8;;10  1/16;;10  7/16;;10  7/8;;11  3/16;;11  9/16;;;;;;;;;;;;;;;
R;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/16;15 3/4;;16 1/4;;17;;18;;19;;20;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO;;C;CRITICA;;;18 1/2;;19 1/4;;20;;20 5/8;;21 1/4;;22;;;;;;;;;;;;;;;
T;ALTO DE CUELLO ;;C;CRITICA;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE;;C;CRITICA;;;24;;24 3/4;;25 7/16;;26 1/4;;27;;27 3/4;;;;;;;;;;;;;;;
V;ALTO DE TAPETE;;C;CRITICA;;;1;;1;;1;;1;;1;;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
