A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;5  3/8 ;;5  7/16;;5  9/16;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICA;;;13  5/16;;13  7/8 ;;14  7/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE PECHO ESPALDA -MITAD;;P;CRITICA;;;13  9/16;;14  1/8 ;;15  1/8 ;;16  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;10  3/8 ;;10  1/2 ;;10  3/4 ;;11      ;;;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  1/2 ;;29  1/4 ;;29  3/4 ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA-MITAD;;P;CRITICA;  3/8 ;  5/16;13  1/4 ;;13  7/8 ;;15      ;;16  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA CENTRO;;P;CRITICA;  1/4 ;  1/4 ;25  9/16;;26  3/16;;26  9/16;;26 15/16;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  5/8 ;;28  3/8 ;;28  7/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;25  1/16;;26  3/16;;28  3/16;;30  3/16;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;7  3/8 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;9  1/2 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO DELANTERO;;P;CRITICA;;;26  1/2 ;;27  5/8 ;;29  5/8 ;;31  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;9  1/8 ;;9  3/8 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;25  7/8 ;;27  1/8 ;;29  3/8 ;;31  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE CUELLO;;C;CRITICA;;;29      ;;29  1/2 ;;30  1/2 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE CUELLO;;C;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE TAPETE ESPALDA;;C;CRITICA;;;15  1/2 ;;15  3/4 ;;16  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE TAPETE ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6  3/4 ;;6  7/8 ;;7      ;;7  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;24  1/8 ;;25  1/4 ;;27  1/4 ;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  5/8 ;;7  3/4 ;;8      ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA-MITAD;;P;CRITICA;;;12  3/8 ;;12 15/16;;13 15/16;;14 15/16;;;;;;;;;;;;;;;;;;;;;;;
5;LARGO DE PIEZA PUÑO;;C;CRITICA;;;18  1/2 ;;18  3/4 ;;19  1/4 ;;19  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
6;ALTO  DE PIEZA PUÑO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
