;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO CANESU ESPALDA;;P;CRITICA;;;7  7/16;;7 11/16;;8      ;;8  1/4 ;;8  1/2 ;;9;;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO ESPALDA EN CANESU;;P;CRITICA;;;1  7/16;;1  7/16;;1  9/16;;1  9/16;;1 11/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO CANESU ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19      ;;19  3/4 ;;20 13/16;;21 13/16;;23  5/16;;24 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ALTO DE CANESU DESDE HPS.;;P;CRITICA;  5/16;  3/8 ;6  1/8 ;;6  3/8 ;;6  3/4 ;;6 15/16;;7  3/8 ;;8  1/8 ;;8 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO INFERIOR DE CANESU;;P;CRITICA;  3/8 ;  3/8 ;16      ;;16  3/4 ;;17  3/8 ;;18  3/8 ;;19  5/16;;20  5/8 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;;;;;bolsillo inferior;
F;LARGO ESPALDA POR EL CENTRO;;P;CRITICA;  3/8 ;  1/4 ;23  7/8 ;;24  5/8 ;;25  1/4 ;;26      ;;26  5/8 ;;26  7/8 ;;27      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE BORDE SUPERIOR ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16;;16  3/4 ;;17  3/8 ;;18  3/8 ;;19  5/16;;20  5/8 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  3/8 ;;21  3/8 ;;22  3/8 ;;23  7/8 ;;25  3/8 ;;27  7/8 ;;30  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;5  1/2 ;;5  7/8 ;;6      ;;6  3/8 ;;6  9/16;;6  7/8 ;;7  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  3/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;26  7/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 15/16;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/2 ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/8 ;;2  1/4 ;;2  3/8 ;;2  1/2 ;;2  5/8 ;;2  7/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;ABERTURA DE TAJO PECHERA DELANTERO;;P;CRITICA;;;4  3/16;;4  7/16;;4  7/16;;4 11/16;;4 11/16;;4 15/16;;4 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;bolsillo supeiro
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  3/4 ;;17  1/2 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  7/8 ;;23  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  3/8 ;;8 13/16;;9  9/16;;10  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;LARGO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;26  7/8 ;;27  7/8 ;;28  7/8 ;;29  7/8 ;;30  7/8 ;;31  7/8 ;;32  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  9/16;;8  3/16;;8 13/16;;9  5/16;;9 13/16;;10  5/16;;10 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;16  1/16;;16 15/16;;17  3/4 ;;18  9/16;;19  9/16;;21  1/16;;22  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13 13/16;;14 13/16;;15 13/16;;16 13/16;;18  5/16;;19 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE PECHERA INFERIOR;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE PECHERA SUPERIOR;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO  BOLSA DE BOLSILLO INFERIOR;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO BOLSA DE BOLSILLO INFERIOR;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO BOLSA DE BOLSILLO SUPERIOR;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE BOLSA DE BOLSILLO SUPERIOR;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE VISTA BOLSILO RECTILINEO;;C;CRITICA;;;4  5/8 ;;4  5/8 ;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;ALTO DE VISTA DE BOLSILLO  RECTILINEO;;C;CRITICA;;; 15/16;; 15/16;; 15/16;; 15/16;; 15/16;; 15/16;; 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PUÑO RECTILINEO;;C;CRITICA;;;11  5/8 ;;12  5/8 ;;13  5/8 ;;14  5/8 ;;15  5/8 ;;17  1/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D1;ANCHO DE TAPETE CUELLO;;C;CRITICA;;;21  1/2 ;;22  1/8 ;;22  3/4 ;;23  3/8 ;;24      ;;25  1/4 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E1;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1;ANCHO DE TAPETE VENTZ;;C;CRITICA;;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G1;ALTO DE TAPETE VENTZ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H1;ANCHO DE CUELLO RECTILINEO;;C;CRITICA;;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;20      ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1I;ALTO DE CUELLO RECTILINEO;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;3  1/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J1;ANCHO ABERTURA DE TAJO;;P;CRITICA;;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
