A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;2  3/8 ;;2  1/2 ;;2  1/2 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBROS ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;19  1/8 ;;19  5/8 ;;20  1/8 ;;20  5/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICAL;;;;;10  1/8 ;;10  5/8 ;;11  3/8 ;;12      ;;12  5/8 ;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;26  7/8 ;;28  7/8 ;;30  7/8 ;;32  7/8 ;;34  7/8 ;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;27  5/8 ;;29  5/8 ;;31  5/8 ;;33  5/8 ;;35  5/8 ;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;29  7/8 ;;30  1/2 ;;31  1/8 ;;31  3/8 ;;31  5/8 ;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;7  5/8 ;;7  3/4 ;;8      ;;8  1/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBROS DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;18  1/8 ;;18  5/8 ;;19  1/8 ;;19  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICAL;;;;;9      ;;9  5/8 ;;10  3/8 ;;11      ;;11  3/4 ;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;28  1/2 ;;29  1/8 ;;29  3/4 ;;30      ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;25  3/4 ;;25  7/8 ;;26      ;;26  1/8 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;19      ;;20  3/8 ;;21  3/4 ;;23      ;;24  3/8 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;10  1/4 ;;10  3/4 ;;11  3/8 ;;11  7/8 ;;12  1/2 ;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE;;C;CRITICAL;;;;;26  1/2 ;;27  1/8 ;;27  7/8 ;;28  1/2 ;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;25  3/4 ;;26  3/8 ;;27  1/8 ;;27  3/4 ;;28  1/2 ;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO ;;C;CRITICAL;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ;;C;CRITICAL;;;;;14  5/8 ;;15      ;;15  1/4 ;;15  5/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE ;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
