C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/16;  3/8 ;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  9/16;;25  1/8 ;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/16;  5/16;14  1/2 ;;15      ;;15  9/16;;16  1/16;;16  7/8 ;;17  1/2 ;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  3/8 ;;6  7/8 ;;7  9/16;;7  7/8 ;;8  3/4 ;;9  7/16;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  1/2 ;;3  3/4 ;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;
H;ALTO DE CINTURA DELANTERO;;P;CRITICA;;;14  7/16;;14  7/8 ;;15  7/16;;15  7/8 ;;16  7/16;;16  7/8 ;;;;;;;;;;;;;;;
I;ANCHO DE CINTURA DELANTERO Y ESPALDA;;P;CRITICA;  3/16;  3/8 ;16 3/16;;17  3/16;;18  3/16;;19  3/16;;20  5/8 ;;22  3/16;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;26  3/16;;26  5/8 ;;27  3/16;;27  5/8 ;;28  3/16;;28  5/8 ;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/16;  5/16;15  1/16;;15  1/2 ;;16      ;;16 1/2;;17  3/8 ;;18      ;;;;;;;;;;;;;;;
L;ALTO DE CINTURA ESPALDA;;P;CRITICA;;;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  5/8 ;;17  3/16;;17  5/8 ;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;7      ;;7  9/16;;8  1/16;;8  9/16;;9  3/8 ;;10  1/8 ;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  3/16;;8  7/16;;8  5/8 ;;8  7/8 ;;9  3/16;;9  7/16;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/16;  3/8 ;12  1/2 ;;13  1/4 ;;14      ;;14  3/4 ;;16      ;;17      ;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/16;  3/8 ;8      ;;8  1/2 ;;9      ;;9  1/2 ;;10      ;;10  1/2 ;;;;;;;;;;;;;;;
S;ANCHO DE  CUELLO ;;C;CRITICA;;;19  1/2 ;;20  3 /16;;20  7/8 ;;21  5/8 ;;22  3/8 ;;23      ;;;;;;;;;;;;;;;
T; ALTO CUELLO;;C;CRITICA;;;1  7/16;;1  7/16;;1  7/16;;1  7/16;;1  7/16;;1  7/16;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE ;;C;CRITICA;;;14      ;;14  7/16;;14  3/4 ;;15  1/8 ;;15  7/16;;15  3/4 ;;;;;;;;;;;;;;;
V;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
