C;ANCHO DE HOMBRO / HOMBRO - CANESU ESPALDA;;P;CRITICA;  3/16;  3/8 ;18 15/16;;19 11/16;;20  7/16;;21  7/16;;22  7/16;;24  1/4 ;;25  3/4 ;;;;;;;;;;;;;
D;ALTO DE CANESU DESDE HPS.;;P;CRITICA;  3/16;  3/8 ;8  9/16;;8 11/16;;8 15/16;;9  1/16;;9  5/16;;9  9/16;;9 15/16;;;;;;;;;;;;;
E;ANCHO INFERIOR DE CANESU;;P;CRITICA;  3/16;  3/8 ;15  9/16;;16  7/16;;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  7/8 ;;22  3/8 ;;;;;;;;;;;;;
F;LARGO ESPALDA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;23  1/16;;23 15/16;;24 11/16;;25  9/16;;26  5/16;;27  1/16;;27 11/16;;;;;;;;;;;;;
G;ANCHO DE BORDE SUPERIOR ESPALDA;;P;CRITICA;  3/16;  3/8 ;15 11/16;;16  7/16;;17  3/16;;18  3/16;;19  3/16;;20 15/16;;22  7/16;;;;;;;;;;;;;
H;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;20 3/8;;21  3/8 ;;22  3/8 ;;23  7/8 ;;25  3/8 ;;28  7/8 ;;31  3/8 ;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;4 1/2;;4  7/8 ;;5  3/16;;5  5/8 ;;6      ;;7  1/8 ;;7  3/4 ;;;;;;;;;;;;;
J;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;19 1/2;;20  3/4 ;;21  3/4 ;;23  1/4 ;;24  3/4 ;;28  3/16;;30 11/16;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;4    ;;4  1/8 ;;4  1/4 ;;4  1/2 ;;4 13/16;;5  1/4 ;;5  5/8 ;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;1    ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;1  3/4 ;;2      ;;;;;;;;;;;;;
LL;ABERTURA DE TAJO PECHERA DELANTERO;;P;CRITICA;;;5 1/4;;5  1/2 ;;5  1/2 ;;5  3/4 ;;5  3/4 ;;6  1/16;;6  1/16;;;;;;;;;;;;;
M;ANCHO DE HOMBRO / HOMBRO - DELANTERO;;P;CRITICA;  3/16;  3/8 ;16 1/4;;17      ;;17  3/4 ;;18  3/4 ;;19  5/8 ;;21  7/16;;22 15/16;;;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;6    ;;6  1/2 ;;7      ;;7  1/2 ;;7  7/8 ;;9      ;;9  7/8 ;;;;;;;;;;;;;
Ñ;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;25  3/4 ;;26  3/4 ;;27  3/4 ;;28  3/4 ;;29  3/4 ;;30  3/4 ;;31  3/4 ;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;9  1/4 ;;9  7/8 ;;10  1/2 ;;11      ;;11  1/2 ;;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/8 ;15  9/16;;16  9/16;;17  9/16;;18  9/16;;19  7/16;;21  9/16;;23  1/16;;;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/8 ;13  3/16;;14  5/16;;15  3/8 ;;16  1/2 ;;17  1/2 ;;18  3/4 ;;20  1/4 ;;;;;;;;;;;;;
R;ANCHO SUPERIOR DE CUELLO INFERIOR Y EXTERIOR;;C;CRITICA;  1/4 ;  1/4 ;17  1/16;;17  9/16;;18  1/16;;18 13/16;;19  9/16;;20 13/16;;22  1/16;;;;;;;;;;;;;
S;ALTO DE CUELLO INFERIOR Y EXTERIOR;;C;CRITICA;  1/4 ;  1/4 ;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;
T;ANCHO INFERIOR DE CUELLO INFERIOR Y EXTERIOR;;C;CRITICA;  1/4 ;  1/4 ;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  5/8 ;;20  7/8 ;;;;;;;;;;;;;
U;ANCHO DE BANDA EXTERIOR;;C;CRITICA;;;17  7/8 ;;18  3/8 ;;18  7/8 ;;19  5/8 ;;20  3/8 ;;21  5/8 ;;22  7/8 ;;;;;;;;;;;;;
V;ALTO DE BANDA  EXTERIOR;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;2      ;;2      ;;;;;;;;;;;;;
Y;ANCHO DE PECHERA ;;C;CRITICA;;;2  3/4 ;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;;;;;;;;;;;;
Z;LARGO DE PECHERA;;C;CRITICA;;;12  3/8 ;;12  7/8 ;;12  7/8 ;;13  3/8 ;;13  3/8 ;;13  7/8 ;;13  7/8 ;;;;;;;;;;;;;
1;ANCHO DE VENTS;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
2;LARGO DE VENTS;;C;CRITICA;;;11      ;;11      ;;11      ;;11      ;;11      ;;11      ;;11      ;;;;;;;;;;;;;
3;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;17  3/4 ;;18  1/4 ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21  1/2 ;;22  3/4 ;;;;;;;;;;;;;
4;ALTO DE BANDA  INTERIOR;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
