M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;21 7/8;;22 7/8;;24 1/8;;25 5/8;;27 5/8;;;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;7 7/8;;8 3/8;;8 3/4;;9 1/8;;9 3/4;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13 5/8;;14 3/8;;15 1/8;;16 1/4;;17 1/4;;;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10 1/4;;10 3/4;;11 1/4;;11 3/4;;12 3/8;;;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;18 1/4;;18 5/8;;19    ;;19 3/8;;19 3/4;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CUELLO COSTURA;;C;CRITICA;;;23    ;;23 5/8;;24 1/8;;24 3/4;;25 1/4;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO DENTRO;;C;CRITICA;;;22 1/8;;22 5/8;;23 1/4;;23 7/8;;24 3/8;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO ;;C;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE ;;C;CRITICA;;;13 1/2;;13 3/4;;14    ;;14 1/4;;14 1/2;;;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
