C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;46.7;;47.2;;47.7;;48.3;;49.5;;50.7;;51.9;;53.4;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;15.6;;16.0;;16.4;;16.8;;17.3;;17.7;;18.2;;18.8;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;40.8;;41.8;;42.8;;43.8;;45.0;;46.3;;47.6;;49.1;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.80;1.00;19.0;;19.7;;20.6;;21.3;;22.0;;22.7;;23.5;;24.5;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;50.2;;52.2;;54.2;;56.2;;58.2;;60.2;;62.2;;64.7;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;51.2;;53.2;;55.2;;57.2;;59.2;;61.2;;63.2;;65.7;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.80;0.70;68.7;;69.5;;70.2;;71.0;;72.0;;73.0;;74.0;;75.2;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;14.0;;14.2;;14.4;;14.6;;15.0;;15.4;;15.8;;16.4;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;18.5;;18.7;;18.9;;19.1;;19.5;;19.9;;20.3;;20.7;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;19.9;;20.0;;20.0;;20.1;;20.1;;20.3;;20.3;;20.4;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;44.9;;45.5;;46.1;;46.7;;47.9;;49.1;;50.3;;51.8;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;13.5;;13.9;;14.3;;14.7;;15.1;;15.5;;16.0;;16.6;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;40.3;;41.3;;42.3;;43.3;;44.3;;45.6;;46.9;;48.3;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.80;1.00;16.1;;16.9;;17.7;;18.5;;19.3;;20.0;;20.7;;21.8;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.80;0.70;66.5;;67.3;;68.0;;68.8;;69.8;;70.8;;71.8;;73.0;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;27.5;;28.2;;28.8;;29.4;;30.1;;30.7;;31.3;;32.2;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;34.1;;35.1;;36.1;;37.1;;38.1;;39.1;;40.1;;41.5;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;33.3;;34.3;;35.3;;36.3;;37.3;;38.3;;39.3;;40.7;;;;;;;;;;;;
V;LARGO DE CUELLO  EN BORDE;;C;CRITICA;;;66.1;;66.6;;66.8;;67.3;;67.9;;68.8;;69.4;;70.3;;;;;;;;;;;;
W;LARGO DE CUELLO  EN CENTRO;;C;CRITICA;;;64.9;;65.4;;65.6;;66.1;;66.7;;67.6;;68.2;;69.1;;;;;;;;;;;;
X;ALTO DE CUELLO;;C;CRITICA;;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;;;;;;;;;;;
Y;LARGO DE TAPETE;;C;CRITICA;;;37.2;;37.5;;37.7;;38.0;;38.5;;39.1;;39.6;;40.2;;;;;;;;;;;;
Z;ALTO DE TAPETE;;C;CRITICA;;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
