B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;2.8;;2.8;;3.0;;3.0;;3.2;;3.2;;3.6;;3.6;;4.0;;4.0;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;47.7;;49.1;;50.9;;52.7;;54.5;;56.3;;58.1;;59.9;;61.7;;63.5;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;18.8;;19.6;;20.4;;21.2;;22.0;;22.8;;23.7;;24.5;;25.3;;26.1;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;43.1;;44.7;;46.6;;48.5;;50.4;;52.6;;54.8;;57.0;;59.2;;61.4;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;23.4;;24.0;;24.6;;25.3;;25.9;;26.7;;27.6;;28.5;;29.5;;30.5;;;;;;;;;
G;ANCHO DE PECHO DELANTERO-ESPALDA;;P;CRITICA;1.00;1.00;52.2;;54.7;;58.2;;61.7;;65.2;;69.7;;74.2;;78.7;;83.2;;87.7;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;1.00;1.00;51.6;;54.1;;57.6;;61.1;;64.6;;69.1;;73.6;;78.1;;82.6;;87.1;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;76.2;;77.7;;79.3;;80.7;;82.2;;84.3;;86.3;;88.3;;90.3;;92.4;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;16.5;;17.2;;17.7;;18.6;;19.1;;20.2;;20.5;;21.4;;21.9;;22.8;;;;;;;;;8
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;14.1;;14.1;;15.1;;15.1;;16.1;;16.1;;17.1;;17.1;;18.1;;18.1;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;8.5;;8.5;;9.0;;9.0;;9.5;;9.5;;10.0;;10.0;;10.5;;10.5;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;45.2;;46.6;;48.4;;50.2;;52.0;;53.8;;55.6;;57.4;;59.2;;61.0;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;15.1;;15.9;;16.7;;17.5;;18.3;;19.1;;19.9;;20.7;;21.5;;22.3;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;40.4;;42.0;;43.9;;45.8;;47.7;;49.9;;52.1;;54.3;;56.5;;58.7;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;19.7;;20.4;;21.1;;21.8;;22.5;;23.5;;24.4;;25.4;;26.5;;27.6;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;72.5;;74.0;;75.5;;77.0;;78.5;;80.5;;82.5;;84.5;;86.5;;88.5;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;63.9;;64.4;;64.9;;65.4;;65.9;;66.4;;66.9;;67.4;;67.9;;68.4;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;39.3;;40.7;;42.6;;44.4;;46.2;;49.0;;51.9;;54.7;;57.6;;60.4;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;26.3;;27.1;;27.9;;28.7;;29.5;;30.3;;31.1;;31.8;;32.6;;33.4;;;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;38.0;;38.0;;40.5;;40.5;;43.0;;43.0;;45.5;;45.5;;48.0;;48.0;;;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;8.9;;;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;7.2;;;;;;;;;
X;LARGO DE PUÑO RIB;;C;CRITICA;;;21.6;;22.2;;22.8;;23.4;;24.1;;24.7;;25.3;;25.9;;26.6;;27.2;;;;;;;;;
Y;ALTO DE PUÑO RIB;;C;CRITICA;;;11.7;;11.7;;11.7;;11.7;;11.7;;11.7;;11.7;;11.7;;11.7;;11.7;;;;;;;;;
B1;LARGO DE TAJO DELANTERO;;P;CRITICA;;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;14.2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
