D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;17  3/4 ;;18  1/4 ;;18  3/4 ;;19  1/4 ;;19  3/4 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;;;8      ;;8  3/8 ;;8  3/4 ;;9  3/16;;9 11/16;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;;;6  9/16;;6 13/16;;7  1/16;;7  5/16;;7  5/16;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;3  1/2 ;;3  3/4 ;;4      ;;4  1/4 ;;4  1/2 ;;;;;;;;;;;;;;;;;
H;LARGO DE EN CENTRO ESPALDA;;P;CRITICA;;;;;29  7/16;;29 15/16;;30 11/16;;31  7/16;;32  3/16;;;;;;;;;;;;;;;;;
I;ANCHO DE MEDIA ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;;;10  5/8 ;;11      ;;11  3/8 ;;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE MEDIO FALDON  ESPALDA ;;P;CRITICA;  5/16;  1/4 ;;;10 11/16;;11      ;;11  3/8 ;;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;
K;ANCHO DE MEDIO HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;9  7/16;;9 11/16;;9 15/16;;10  3/16;;10  7/16;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;;;8 11/16;;9  1/16;;9  7/16;;9  7/8 ;;10  5/16;;;;;;;;;;;;;;;;;
M;ALTO DE CURVA DELANTERO Y ESPALDA;;P;CRITICA;;;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;4  1/16;;4  3/16;;4  5/16;;4  7/16;;4  7/16;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;27  1/4 ;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;15  3/4 ;;16  7/16;;17  1/8 ;;17  7/8 ;;18  3/4 ;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;8  3/8 ;;9  1/8 ;;9  7/8 ;;10  5/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;
S;ANCHO DE  CUELLO ;;C;CRITICA;;;;;15 15/16;;16  5/8 ;;17  3/8 ;;18      ;;18  1/4 ;;;;;;;;;;;;;;;;;
T; ALTO CUELLO;;C;CRITICA;;;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE ;;C;CRITICA;;;;;11  1/2 ;;11  3/4 ;;12      ;;12  1/4 ;;12  1/4 ;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE ;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
