C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;22  5/16;;23  5/16;;24  5/16;;25  5/16;;26 13/16;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;;;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  3/4 ;;;;;;;;;;;;;;;
E;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;
F;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;20  1/2 ;;21  1/2 ;;22  1/2 ;;23  1/2 ;;25      ;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;22      ;;23      ;;24      ;;25      ;;26  1/2 ;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;22  1/8 ;;23  1/8 ;;24  1/8 ;;25  1/8 ;;26  5/8 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;23 13/16;;24  5/16;;24 13/16;;25  1/4 ;;25  3/4 ;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;;;6 11/16;;6 15/16;;7  5/16;;7  9/16;;7 13/16;;;;;;;;;;;;;;;
K;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;;;6      ;;6  1/8 ;;6  1/4 ;;6  3/8 ;;6  1/2 ;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;20  9/16;;21  9/16;;22  9/16;;23  9/16;;25  1/16;;;;;;;;;;;;;;;
M;SISA RECTA DELANTERO;;P;CRITICA;;;;;6  3/16;;6 11/16;;7  3/16;;7 11/16;;8  7/16;;;;;;;;;;;;;;;
N;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;
O;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;20  1/2 ;;21  1/2 ;;22  1/2 ;;23  1/2 ;;25      ;;;;;;;;;;;;;;;
P;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;20  3/8 ;;20  7/8 ;;21  3/8 ;;21  7/8 ;;22  3/8 ;;;;;;;;;;;;;;;
Q;ANCHO DE BICEPS ;;P;CRITICA;  3/8 ;  3/8 ;;;15  3/4 ;;16  9/16;;17  3/8 ;;18  3/16;;19  7/16;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;14      ;;14 13/16;;15 11/16;;16  1/2 ;;17 11/16;;;;;;;;;;;;;;;
S;LARGO DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;;;7  7/16;;7  7/16;;7  7/16;;7  7/16;;7  7/16;;;;;;;;;;;;;;;
T;LARGO COLLARETA CUELLO;;C;CRITICA;;;;;31 13/16;;32  9/16;;33  5/16;;34  1/16;;34 13/16;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CUELLO ;;C;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
