C;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  1/8 ;;20 15/16;;21 13/16;;22  3/4 ;;24  1/16;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;21  1/4 ;;22  1/4 ;;23  1/4 ;;24  1/4 ;;25  3/4 ;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;;;;;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;8      ;;8  1/8 ;;8  1/4 ;;8  3/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7  7/8 ;;8  1/4 ;;8  9/16;;8 15/16;;9  3/8 ;;;;;;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;27  3/8 ;;27  7/8 ;;28  3/8 ;;28  7/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO  ESPALDA MITAD;;P;CRITICA;  7/16;  3/8 ;10  7/8 ;;11  3/8 ;;11  7/8 ;;12  3/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON ESPALDA MITAD;;P;CRITICA;  7/16;  3/8 ;10  9/16;;11  1/16;;11  9/16;;12  1/16;;12 13/16;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICA;;;11  3/16;;11 11/16;;12  3/16;;12 11/16;;13  7/16;;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4  3/8 ;;4  1/2 ;;4 11/16;;4 13/16;;5      ;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;8  1/4 ;;8  9/16;;8 15/16;;9  5/16;;9 13/16;;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
O;LARGO DE CUELLO EN COSTURA;;C;CRITICA;;;25  1/4 ;;25  7/8 ;;26  1/2 ;;27  1/8 ;;27  3/4 ;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE SUPERIOR;;C;CRITICA;;;25  7/8 ;;26  1/2 ;;27  1/8 ;;27  3/4 ;;28  1/2 ;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14  1/8 ;;14  1/2 ;;14  7/8 ;;15  1/8 ;;15  1/2 ;;;;;;;;;;;;;;;;;;
S;ANCHO DE BOLSILLO LADO SUPERIOR;;C;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;
T;LARGO DE BOLSILLO;;C;CRITICA;;;4  7/16;;4  7/16;;4  7/16;;4  7/16;;4 11/16;;;;;;;;;;;;;;;;;;
U;ANCHO DE BOLSILLO LADO INFERIOR;;C;CRITICA;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;OJO: SOLO SE RENOMBRO DE SIGE = EN MEDIDAS ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
