COD.;DESCRIPCIÓN;;P/C;CRITICAL;MARGEN (1);MARGEN (2);;;1X;;2X;;3X;;4X;;5X;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;2      ;;2  1/8 ;;2  1/8 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18  1/8 ;;18  5/8 ;;19  1/8 ;;19  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICAL;  5/16;  3/8 ;;;9  3/4 ;;10  5/16;;10 15/16;;11  5/8 ;;12  3/8 ;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;25  3/4 ;;27  3/4 ;;29  3/4 ;;31  3/4 ;;33  3/4 ;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;26  9/16;;28  9/16;;30  9/16;;32  9/16;;34  9/16;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;29  1/2 ;;30  1/8 ;;30  3/4 ;;31      ;;31  1/4 ;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;8  1/16;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;7 11/16;;7 13/16;;8  1/16;;8  3/16;;8  7/16;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;17  1/2 ;;18      ;;18  1/2 ;;19      ;;19  1/2 ;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;;;9  1/4 ;;9 13/16;;10  1/2 ;;11  1/4 ;;11 15/16;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;28  3/4 ;;29  1/2 ;;30      ;;30  1/4 ;;30  1/2 ;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;25      ;;25  1/8 ;;25  1/4 ;;25  3/8 ;;25  1/2 ;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;18 11/16;;20  1/8 ;;21  1/2 ;;22  3/4 ;;24  1/8 ;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;10  3/16;;10  3/4 ;;11  3/8 ;;11 15/16;;12  1/2 ;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;25 15/16;;26  9/16;;27  5/16;;27 15/16;;28 11/16;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;25  1/8 ;;25  3/4 ;;26  1/2 ;;27  1/8 ;;27  7/8 ;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO ;;C;CRITICAL;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ;;C;CRITICAL;;;;;14 11/16;;15      ;;15  1/4 ;;15  5/8 ;;15  7/8 ;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE ;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
