C;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  1/16;;20  1/16;;21  1/16;;22  1/16;;23  9/16;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;22  3/4 ;;23  3/4 ;;24  3/4 ;;25  3/4 ;;27  1/4 ;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;9      ;;;;;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  3/4 ;;26  1/4 ;;26  3/4 ;;27  1/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO  ESPALDA MITAD;;P;CRITICA;  5/16;  3/8 ;11  7/16;;11 15/16;;12  7/16;;12 15/16;;13 11/16;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON ESPALDA MITAD;;P;CRITICA;  5/16;  3/8 ;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;12  1/8 ;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICA;;;11  3/4 ;;12  1/4 ;;12  3/4 ;;13  1/4 ;;14      ;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4  5/8 ;;4  3/4 ;;4 15/16;;5  1/8 ;;5  1/4 ;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9      ;;9  1/2 ;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;
O;LARGO DE CUELLO;;C;CRITICA;;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;22  1/2 ;;;;;;;;;;;;;;;;;
P;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
Q;LARGO DE TAPETE CUELLO;;C;CRITICA;;;14      ;;14  3/8 ;;14  3/4 ;;15  1/8 ;;15  1/2 ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO ;;P;CRITICA;;;21  3/4 ;;22  3/4 ;;23  3/4 ;;24  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA  ;;P;CRITICA;;;11  1/4 ;;11  3/4 ;;12  1/4 ;;12  3/4 ;;13  1/2 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
