C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;20  3/8 ;;21  3/8 ;;22  3/8 ;;23  7/8 ;;25  3/8 ;;27  7/8 ;;30  3/8 ;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  7/8 ;;23  3/8 ;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;7 1/8;;7  5/8 ;;8  3/16;;8  9/16;;9      ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;4  3/4 ;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6  1/4 ;;6  3/4 ;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  9/16;;2  3/4 ;;2  7/8 ;;3      ;;3  1/16;;3  5/16;;3  9/16;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;5  3/16;;5  7/16;;5  7/16;;5 11/16;;5 11/16;;5 15/16;;5 15/16;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  1/8 ;;30  1/8 ;;31  1/8 ;;32  1/8 ;;33  1/8 ;;34  1/8 ;;35  1/8 ;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;18  7/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;23  1/8 ;;24  5/8 ;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;8  7/8 ;;9  3/8 ;;9  7/8 ;;10  5/16;;10  3/4 ;;11  7/16;;12  3/16;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/2 ;;8      ;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/8 ;;1  5/8 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;2      ;;;;;;;;;;;;;
N;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  3/16;;9 13/16;;10  7/16;;10 15/16;;11  7/16;;11 15/16;;12  7/16;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  5/8 ;;17  7/16;;18  3/8 ;;19  3/8 ;;20  3/4 ;;22  1/4 ;;;;;;;;;;;;;
P;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;15  1/4 ;;16  1/8 ;;17  1/8 ;;18  1/8 ;;19  5/8 ;;21  1/8 ;;;;;;;;;;;;;
Q;ANCHO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;2 7/8;;2 7/8;;2 7/8;;2 7/8;;2 7/8;;2 7/8;;2 7/8;;;;;;;;;;;;;
R;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;7  3/8 ;;7  5/8 ;;7  5/8 ;;7  7/8 ;;7  7/8 ;;8  1/8 ;;8  1/8 ;;;;;;;;;;;;;
S;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  1/4 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  7/8 ;;8  3/8 ;;;;;;;;;;;;;
T;LARGO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;
U;LARGO SUPERIOR DE CUELLO EXTERIOR ;;C;CRITICA;;;16  5/8 ;;17  3/8 ;;18  1/8 ;;18  7/8 ;;19  5/8 ;;20  7/8 ;;22  1/8 ;;;;;;;;;;;;;
V;ALTO DE CUELLO EXTERIOR E INFERIOR;;C;CRITICA;;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 15/16;;2 15/16;;;;;;;;;;;;;
W;LARGO INFERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;15  1/2 ;;16  1/4 ;;17      ;;17  3/4 ;;18  1/2 ;;19  3/4 ;;22      ;;;;;;;;;;;;;
X;LARGO SUPERIOR DE CUELLO INTERIOR ;;C;CRITICA;;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  1/8 ;;19  7/8 ;;21  1/8 ;;22  3/8 ;;;;;;;;;;;;;
Y;LARGO INFERIOR DE CUELLO INTERIOR;;C;CRITICA;;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;20      ;;22  1/4 ;;;;;;;;;;;;;
Z;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;17  3/16;;17 15/16;;18 11/16;;19  7/16;;20  3/16;;21  7/16;;22 11/16;;;;;;;;;;;;;
A1;ALTO DE BANDA EXTERIOR ;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;
A2;LARGO DE BANDA INTERIOR;;C;CRITICA;;;17  7/16;;18  3/16;;18 15/16;;19 11/16;;20  7/16;;21 11/16;;22 15/16;;;;;;;;;;;;;
A3;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;MODELISTA: ROXANA GAMARRA;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
