C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;18      ;;18  3/4 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;9  1/8 ;;9  1/2 ;;10      ;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;
F;CAIDA DE ESCOTE  DELANTERO;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/8 ;30  1/4 ;;31  3/4 ;;34      ;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA ;;P;CRITICA;;;30  3/4 ;;31  1/2 ;;32  1/4 ;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE PUNTA DE PECHO ESPALDA;;P;CRITICA;  3/16;  3/8 ;25  1/2 ;;27      ;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;17  1/2 ;;18      ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;10  1/8 ;;10  1/2 ;;11      ;;;;;;;;;;;;;;;;;;;;;
L;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8  7/8 ;;9      ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;
LL;CAIDA DE ESCOTE ESPALDA ;;P;CRITICA;;;2  1/8 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/16;  3/8 ;28  1/8 ;;29  1/2 ;;31  3/4 ;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA;;P;CRITICA;;;9  3/16;;9  1/2 ;;9  5/8 ;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO EN PUNTA MANGA;;P;CRITICA;  3/16;  3/8 ;19  1/4 ;;20  1/4 ;;21  3/4 ;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/8 ;18      ;;18  7/8 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE TAPETE;;C;CRITICA;;;15  1/8 ;;15  1/2 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE COLLARETA;;C;CRITICA;;;33      ;;34      ;;34  7/8 ;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE CUADRADO;;C;CRITICA;;;9  7/8 ;;9  7/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE CUADRADO;;C;CRITICA;;;9  7/8 ;;9  7/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
