C;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/16;8 3/4;;9  5/16;;9 13/16;;10  3/16;;10 5/8;;11  5/16;;12      ;;;;;;;;;;;;;
D;ANCHO DE PECHO EN SISA ESPALDA ;;P;CRITICA;  3/16;  3/16;10 1/2;;11      ;;11 1/2;;12 1/4;;13    ;;14 1/4;;15 1/2;;;;;;;;;;;;;
E;ABERTURA DE FALDON ESPALDA ;;P;CRITICA;  3/16;  3/16;10    ;;10 1/2;;11    ;;11 3/4;;12 1/2;;13 3/4;;15    ;;;;;;;;;;;;;
F;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;29  5/16;;30  5/16;;31  5/16;;32  1/16;;33  5/16;;34  5/16;;35  5/16;;;;;;;;;;;;;
G;LARGO EN CENTRO ESPALDA;;P;CRITICA;  3/16;  3/16;27  1/2 ;;28  1/2 ;;29  3/8 ;;30  3/8 ;;31  1/4 ;;32  1/4 ;;33  1/8 ;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;6      ;;6  1/4 ;;6 1/2;;6  3/4 ;;7      ;;7 1/2;;8      ;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;3.125;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;4  1/8 ;;;;;;;;;;;;;
J;LARGO DE TAJO PECHERA;;P;CRITICA;;;4  3/4 ;;5      ;;5      ;;5  1/4 ;;5  1/4 ;;5 1/2;;5 1/2;;;;;;;;;;;;;
K;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  3/16;16 13/16;;17  9/16;;18  5/16;;19  5/16;;20  5/16;;21 13/16;;23  5/16;;;;;;;;;;;;;
L;ANCHO DE PECHO EN SISA DELANTERO ;;P;CRITICA;  3/16;  3/16;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;27  3/4 ;;30  1/4 ;;;;;;;;;;;;;
M;ABERTURA DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/16;19  1/4 ;;20  1/4 ;;21  1/4 ;;22 3/4;;24  1/4 ;;26  3/4 ;;29  1/4 ;;;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  1/4 ;7  1/16;;7  9/16;;8  1/8 ;;8  1/2 ;;8 15/16;;9 11/16;;10  3/8 ;;;;;;;;;;;;;
Ñ;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27 1/2;;28 1/2;;29 1/2;;30 1/2;;31 1/2;;32 1/2;;33 1/2;;;;;;;;;;;;;
O;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;9  1/8 ;;9 3/4;;10 3/8;;10 7/8;;11 3/8;;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;16  1/16;;16 15/16;;17  3/4 ;;18  5/8 ;;19 5/8;;20 15/16;;22 1/2;;;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;13 1/4;;14 1/8;;15  1/16;;16      ;;16 15/16;;18  7/16;;19 15/16;;;;;;;;;;;;;
R;LARGO DE CUELLO;;P;CRITICA;  3/16;  3/16;16  5/16;;16 15/16;;17 11/16;;18  1/4 ;;19      ;;20  1/4 ;;21  5/8 ;;;;;;;;;;;;;
S;ANCHO DE CUELLO;;P;CRITICA;  3/16;  3/16;1  1/2 ;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1  1/2 ;;;;;;;;;;;;;
T;LARGO DE PECHERA SUPERIOR / INFERIOR;;P;CRITICA;;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;;;;;;;;;;;;
U;ANCHO DE PECHERA SUPERIOR / INFERIOR;;C;CRITICA;;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;;;;;;;;;;;;
V;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;9  7/8 ;;10  1/8 ;;10  1/2 ;;10 11/16;;11  1/16;;11  9/16;;12  3/16;;;;;;;;;;;;;
W;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;MODELISTA: ROXANA GAMARRA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
