A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;5  3/4 ;;;;6  1/8 ;;;;6  1/2 ;;;;6 13/16;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  5/8 ;;;;3  7/8 ;;;;4      ;;;;4  1/4 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;20  1/4 ;;;;21  1/4 ;;;;22  1/4 ;;;;23  1/4 ;;;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;24  7/8 ;;;;26  7/8 ;;;;28  7/8 ;;;;30  7/8 ;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;8  5/8 ;;;;8  7/8 ;;;;9  1/8 ;;;;9  3/8 ;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;24  3/8 ;;;;26  3/8 ;;;;28  3/8 ;;;;30  3/8 ;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;35  1/8 ;;;;36  1/8 ;;;;37  1/8 ;;;;38  1/8 ;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6  7/16;;;;6 13/16;;;;7  3/16;;;;7  9/16;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  5/16;;;;1  5/16;;;;1  7/16;;;;1  9/16;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;20  7/8 ;;;;21  7/8 ;;;;22  7/8 ;;;;23  7/8 ;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;9  1/16;;;;9  1/4 ;;;;9  1/2 ;;;;9  3/4 ;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25 11/16;;;;36 11/16;;;;38 11/16;;;;38 11/16;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;11 15/16;;;;12  3/16;;;;12  7/16;;;;12 11/16;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18 11/16;;;;19  9/16;;;;20  9/16;;;;21  5/8 ;;;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;15  5/16;;;;16  5/16;;;;17  3/8 ;;;;18  7/16;;;;;;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  9/16;;;;5  9/16;;;;5  9/16;;;;5  9/16;;;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;;;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;;;10      ;;;;10      ;;;;11      ;;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;19  1/4 ;;;;20  1/4 ;;;;21  1/4 ;;;;22  1/4 ;;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;22  7/8 ;;;;23  7/8 ;;;;24  3/4 ;;;;25  3/4 ;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;14  1/2 ;;;;15  1/2 ;;;;16  1/2 ;;;;17  1/2 ;;;;;;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;;;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;16  3/4 ;;;;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;;;;;;;;;;;;;;;;
8;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;;;;;;;;;;;;;;;
9;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;;;3      ;;;;3      ;;;;3      ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
