C;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;2 1/2;;2 5/8;;2 3/4;;2 7/8;;3;;3 1/4;;3  1/2 ;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 1/4;;28 1/4;;29 1/4;;30 1/4;;31 1/4;;32 1/4;;33  1/4 ;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;20 1/8;;21 1/8;;22 1/8;;23 5/8;;25 1/8;;28 5/8;;31  1/8 ;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18 7/8;;20 1/8;;21 1/8;;22 5/8;;24 1/8;;27 1/2;;30;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;6 5/8;;7 1/8;;7 5/8;;8;;8 1/2;;9 5/8;;10  3/8 ;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18 5/8;;19 3/8;;20 1/8;;21 1/8;;22 1/8;;23 7/8;;25  3/8 ;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;2 1/4;;2 1/4;;2 3/8;;2 3/8;;2 1/2;;2 1/2;;2  5/8 ;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7 1/4;;7 1/2;;7 3/4;;8;;8 1/4;;8 3/4;;9  1/4 ;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29 1/2;;30 1/2;;31 1/2;;32 1/2;;33 1/2;;34 1/2;;35  1/2 ;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;20 1/8;;21 1/8;;22 1/8;;23 5/8;;25 1/8;;28 5/8;;31  1/8 ;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18 7/8;;20 1/8;;21 1/8;;22 5/8;;24 1/8;;27 1/2;;30;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;8 3/4;;9 1/4;;9 3/4;;10 1/8;;10 1/2;;11 1/2;;12  1/4 ;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;14 3/8;;15 3/8;;16 3/8;;17 3/8;;18 1/2;;20 5/8;;22  1/8 ;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8 3/8;;9 1/8;;9 7/8;;10 3/8;;10 7/8;;11 5/8;;12  1/4 ;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;22 1/8;;23;;23 7/8;;24 3/8;;24 7/8;;24 1/2;;23  3/4 ;;;;;;;;;;
R;ANCHO DE CUELLO RIB;;C;CRITICA;;;15 3/4;;16 1/4;;16 7/8;;17 3/8;;18;;19 1/8;;20  1/4 ;;;;;;;;;;
S;ALTO DE CUELLO RIB;;C;CRITICA;;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1 3/4;;1  3/4 ;;;;;;;;;;
T;ANCHO DE MEDIA LUNA;;C;CRITICA;;;6 1/8;;6 3/8;;6 5/8;;6 7/8;;7 1/8;;7 5/8;;8  1/8 ;;;;;;;;;;
U;ALTO DE MEDIA LUNA;;C;CRITICA;;;3 7/8;;4;;4 1/8;;4 1/4;;4 3/8;;4 5/8;;4  7/8 ;;;;;;;;;;
V;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;;;;;;;;;
X;LARGO DE PECHERA INFERIOR;;C;CRITICA;;;6 1/2;;6 3/4;;6 3/4;;7;;7;;7 1/4;;7  1/4 ;;;;;;;;;;
W;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;;;;;;;;;
Y;LARGO DE PECHERA SUPERIOR;;C;CRITICA;;;6 1/2;;6 3/4;;6 3/4;;7;;7;;7 1/4;;7  1/4 ;;;;;;;;;;
Z;ANCHO DE TAPETE ESCOTE;;C;CRITICA;;;14 1/8;;14 3/8;;14 3/4;;15;;15 3/8;;15 7/8;;16  1/2 ;;;;;;;;;;
Z1;ALTO DE TAPETE ESCOTE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;
A1;ANCHO DE PUÑO EN BORDE;;C;CRITICA;;;8 1/8;;8 7/8;;9 5/8;;10 1/8;;10 5/8;;11 3/8;;12  1/8 ;;;;;;;;;;
A2;ANCHO DE PUÑO EN CENTO;;C;CRITICA;;;7 1/2;;8 1/4;;9;;9 1/2;;10;;10 3/4;;11  1/2 ;;;;;;;;;;
A3;ALTO DE PUÑO;;C;CRITICA;;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;6  3/16;;;;;;;;;;
G1;LARGO DE TAJO DELANTERO;;P;CRITICA;;;4 1/2;;4 3/4;;4 3/4;;5;;5;;5 1/4;;5  1/4 ;;;;;;;;;;
Y1;LARGO DE PECHERA;;C;CRITICA;;;6 1/2;;6 3/4;;6 3/4;;7;;7;;7 1/4;;7  1/4 ;;;;;;;;;;
Y2;ANCHO DE PECHERA;;C;CRITICA;;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;3 5/8;;;;;;;;;;
