C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  3/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15      ;;15  3/4 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  1/8 ;;6  5/8 ;;7  1/8 ;;7 11/16;;8  7/16;;;;;;;;;;;;;;;;;
G;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;8  9/16;;;;;;;;;;;;;;;;;
H;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  7/8 ;;6      ;;6  1/8 ;;6  1/4 ;;6  3/8 ;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  5/8 ;;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;6  5/8 ;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1      ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;;;;;;;;;;;;;;;;
N;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;12  1/8 ;;12  3/8 ;;12  5/8 ;;12  7/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;11  3/8 ;;12  1/8 ;;13      ;;13  3/4 ;;14 13/16;;;;;;;;;;;;;;;;;
P;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9      ;;9  3/4 ;;10  1/2 ;;11  1/4 ;;12  5/16;;;;;;;;;;;;;;;;;
Q;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;30  7/8 ;;31  1/2 ;;32  1/4 ;;33      ;;33  3/4 ;;;;;;;;;;;;;;;;;
R;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
S;ALTO DE CURVA FALDON CUERPO;;P;CRITICA;;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
