C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;46.7;;47.2;;47.7;;48.3;;49.5;;50.7;;51.9;;53.4;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;15.6;;16.0;;16.4;;16.8;;17.3;;17.7;;18.2;;18.8;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;40.8;;41.8;;42.8;;43.8;;45.0;;46.3;;47.6;;49.1;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.80;1.00;19.0;;19.7;;20.6;;21.3;;22.0;;22.7;;23.5;;24.5;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;50.0;;52.0;;54.0;;56.0;;58.0;;60.0;;62.0;;64.5;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;50.9;;52.9;;54.9;;56.9;;58.9;;60.9;;62.9;;65.4;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.80;0.70;68.4;;69.2;;69.9;;70.7;;71.7;;72.7;;73.7;;74.9;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;14.0;;14.2;;14.4;;14.6;;15.0;;15.4;;15.8;;16.4;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;18.5;;18.7;;18.9;;19.1;;19.5;;19.9;;20.3;;20.7;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;19.9;;20.0;;20.1;;20.2;;20.2;;20.3;;20.3;;20.4;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;44.9;;45.5;;46.1;;46.7;;47.9;;49.1;;50.3;;51.8;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;13.5;;13.9;;14.3;;14.7;;15.1;;15.5;;16.0;;16.6;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;40.3;;41.3;;42.3;;43.3;;44.3;;45.6;;46.9;;48.3;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.80;1.00;16.1;;16.9;;17.7;;18.5;;19.3;;20.0;;20.7;;21.8;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.80;0.70;66.2;;67.0;;67.7;;68.5;;69.5;;70.5;;71.5;;72.7;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;27.4;;28.1;;28.7;;29.3;;30.0;;30.6;;31.2;;32.1;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;34.1;;35.1;;36.1;;37.1;;38.1;;39.1;;40.1;;41.5;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;33.3;;34.3;;35.3;;36.3;;37.3;;38.3;;39.3;;40.7;;;;;;;;;;;;
V;LARGO DE CUELLO  EN BORDE;;C;CRITICA;;;67.1;;67.6;;67.9;;68.4;;69.0;;69.8;;70.5;;71.4;;;;;;;;;;;;
W;LARGO DE CUELLO  EN CENTRO;;C;CRITICA;;;65.4;;65.9;;66.1;;66.6;;67.2;;68.1;;68.8;;69.6;;;;;;;;;;;;
X;ALTO DE CUELLO;;C;CRITICA;;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;4.3;;;;;;;;;;;;
Y;LARGO DE TAPETE;;C;CRITICA;;;37.2;;37.5;;37.7;;38.0;;38.5;;39.1;;39.6;;40.2;;;;;;;;;;;;
Z;ALTO DE TAPETE;;C;CRITICA;;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
