C;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18  3/4 ;;19  1/4 ;;19  3/4 ;;20  1/4 ;;20  3/4 ;;;;;;;;;;;;;;;
D;ANCHO DE FALDON ESPALDA;;P;CRITICAL;;;;;28  1/16;;30  1/16;;32  1/16;;34  1/16;;36  1/16;;;;;;;;;;;;;;;
E;ANCHO DE  PECHO ESPALDA ;;P;CRITICAL;  3/8 ;  3/8 ;;;26  1/4 ;;28  1/4 ;;30  1/4 ;;32  1/4 ;;34  1/4 ;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICAL;  5/16;  3/8 ;;;9 15/16;;10  7/16;;10 15/16;;11  1/2 ;;12  1/16;;;;;;;;;;;;;;;
G;ANCHO DE PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;27  1/4 ;;29  1/4 ;;31  1/4 ;;33  1/4 ;;35  1/4 ;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;27  1/4 ;;29  1/4 ;;31  1/4 ;;33  1/4 ;;35  1/4 ;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;29  1/4 ;;29  7/8 ;;30  1/2 ;;30  3/4 ;;31  1/16;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;7 11/16;;7 13/16;;8  1/16;;8  3/16;;8  7/16;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;17  1/2 ;;18      ;;18  1/2 ;;19      ;;19  1/2 ;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;;;9  3/16;;9  3/4 ;;10  3/8 ;;11      ;;11  5/8 ;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;28  5/8 ;;29  1/4 ;;29  7/8 ;;30  1/8 ;;30  3/8 ;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;11  1/4 ;;11  3/8 ;;11  1/2 ;;11  5/8 ;;11  3/4 ;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;18  7/8 ;;20  1/4 ;;21  5/8 ;;23      ;;24  1/2 ;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;17      ;;18  1/4 ;;19  3/4 ;;21  1/16;;22  5/8 ;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;26  1/2 ;;27  1/8 ;;27  7/8 ;;28  1/2 ;;29  1/4 ;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;25  3/4 ;;26  3/8 ;;27  1/8 ;;27  3/4 ;;28  1/2 ;;;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;;;15  9/16;;16  1/4 ;;16  3/4 ;;17  9/16;;18  1/16;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
