B;ANCHO DE PECHO DELANTERO  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  9/16;;20  9/16;;21  9/16;;22  9/16;;24  1/16;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8  3/4 ;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3 15/16;;4  1/16;;4  3/16;;4  5/16;;4  7/16;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  1/4 ;;28  3/4 ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;  1/4 ;  3/8 ;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  5/8 ;;;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;10  1/8 ;;10  5/8 ;;11  1/8 ;;11  5/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;9      ;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;6  7/8 ;;7  7/16;;7 15/16;;8  7/16;;9  1/4 ;;;;;;;;;;;;;;;;;;;
M;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;
N;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;
P;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;14  7/16;;15  3/8 ;;16  9/16;;17 15/16;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;13  1/4 ;;14  1/8 ;;15  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO CINTA;;C;CRITICA;;;25  1/2 ;;26  1/4 ;;27      ;;27  3/4 ;;28  1/2 ;;;;;;;;;;;;;;;;;;;
S;ALTO DE CUELLO CINTA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  9/16;;13 15/16;;14  1/4 ;;14  9/16;;14 15/16;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
