G1;ANCHO DE PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;20  3/8 ;;21  3/8 ;;22  3/8 ;;23  5/8 ;;25  3/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  1/2 ;;25  1/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
H1;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/2 ;;24  1/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;25  1/16;;25  9/16;;26  1/16;;26 11/16;;27  5/16;;27 11/16;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICAL;;;4  7/16;;4  9/16;;4  3/4 ;;4 15/16;;5  3/16;;5  5/16;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/8 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;6 11/16;;6 15/16;;7  1/16;;7  3/16;;7  7/16;;7  9/16;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;15  7/16;;15 15/16;;16  7/16;;17  1/16;;17 13/16;;18  3/16;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICAL;;;5  1/4 ;;5  1/2 ;;5  3/4 ;;5  7/8 ;;6  1/8 ;;6  1/2 ;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  3/4 ;;16  1/2 ;;16  7/8 ;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;6  5/8 ;;7  1/16;;7  7/16;;7  7/8 ;;8  5/16;;8  1/2 ;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;24  1/8 ;;24  5/8 ;;25  1/8 ;;25  3/4 ;;26  3/8 ;;26  3/4 ;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/8 ;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;14      ;;15      ;;16      ;;16 11/16;;17  5/8 ;;18  3/8 ;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;12  5/8 ;;13  1/2 ;;14  3/8 ;;15  1/8 ;;16  3/16;;16  7/8 ;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;22 15/16;;23  5/8 ;;24  1/8 ;;24 11/16;;25  1/2 ;;25  7/8 ;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;22  1/8 ;;22 13/16;;23  5/16;;23  7/8 ;;24  5/8 ;;25      ;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;13 11/16;;13  7/8 ;;14  1/8 ;;14  3/8 ;;14  3/4 ;;14 13/16;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
