B;ANCHO DE PECHO EN SISA DELANTERO-ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18  7/8 ;;19  7/8 ;;20  7/8 ;;22  1/8 ;;23  7/8 ;;24  7/8 ;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;21  9/16;;22  9/16;;23  9/16;;24 13/16;;26  9/16;;27  9/16;;;;;;;;;;;;;
C1;ANCHO DE FALDON ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;22  7/16;;23  7/16;;24  7/16;;25  3/4 ;;27  7/16;;28  7/16;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  3/8 ;;23  1/8 ;;24  1/8 ;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICAL;;;;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  9/16;;8 11/16;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICAL;;;;;3  9/16;;3 11/16;;3  3/4 ;;3 13/16;;3  7/8 ;;3 15/16;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICAL;;;;;6  3/8 ;;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  1/2 ;;8  7/8 ;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;28  5/8 ;;29  1/16;;29  5/8 ;;30  3/16;;30 11/16;;31  1/16;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18 11/16;;19 11/16;;20 11/16;;21 15/16;;23 11/16;;24 11/16;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICAL;;;;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/8 ;;;;;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICAL;;;;;1 11/16;;1 11/16;;1 11/16;;1 11/16;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICAL;;;;;7  1/4 ;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;
M;ANCHO DE MANGA (BICEP);;P;CRITICAL;  3/8 ;  3/8 ;;;13  1/8 ;;13 13/16;;14  9/16;;15  5/16;;16  5/16;;17  1/16;;;;;;;;;;;;;
N;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;20 15/16;;21  3/16;;21  1/2 ;;21  3/4 ;;22  3/16;;22  1/4 ;;;;;;;;;;;;;
Ñ;BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;8  3/16;;8  7/16;;8  3/4 ;;9  1/16;;9  3/8 ;;9 11/16;;;;;;;;;;;;;
O;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;21  9/16;;22  3/16;;22 11/16;;23  3/16;;23 11/16;;24  1/16;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICAL;;;;;22  3/4 ;;23  1/4 ;;23  3/4 ;;24  1/4 ;;24  3/4 ;;25      ;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICAL;;;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;;;;;;;;;;;;
R;ANCHO DE TAPETE ESPALDA;;C;CRITICAL;;;;;14  1/8 ;;14  3/8 ;;14  5/8 ;;14  7/8 ;;15  1/8 ;;15  1/4 ;;;;;;;;;;;;;
S;ALTO DE TAPETE ESPALDA;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
T;ANCHO DE COLLARETA CORDON EN CUELLO;;C;CRITICAL;;;;;47      ;;47  1/2 ;;48      ;;48  1/2 ;;49      ;;49  1/4 ;;;;;;;;;;;;;
U;ALTO DE COLLARETA CORDON EN CUELLO;;C;CRITICAL;;;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;MOLDE TIENE HIKING DE 3/8 ESCOTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESPLADA ES MAS GRANDE QUE EL DELANTERO AL ANCHO  DIFERENCIA DE 1/2 POR LADO COMO COMO MOLDE TERMINADO VA TENER DE 1/4 POR LADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
