D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  5/8 ;;18  5/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  5/16;7  5/8 ;;7 15/16;;8  3/8 ;;8  1/2 ;;8  3/4 ;;9  1/16;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  3/8 ;;5 11/16;;6  1/16;;6  3/8 ;;6  3/4 ;;7  1/16;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  5/8 ;;3  3/4 ;;4      ;;4  1/8 ;;4  3/8 ;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;30      ;;30  1/2 ;;31      ;;32      ;;33      ;;34      ;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  9/16;;18  9/16;;19  9/16;;20  9/16;;21  9/16;;22  9/16;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  5/16;8  1/2 ;;8 13/16;;9  3/16;;9  1/4 ;;9  7/16;;9  3/4 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  1/4 ;;6  5/8 ;;7      ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/8 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  3/4 ;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;22  1/8 ;;22  5/8 ;;23  1/8 ;;23  5/8 ;;24  1/8 ;;24  1/8 ;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15 11/16;;16  7/16;;17  3/16;;18  1/4 ;;19  1/4 ;;20  3/8 ;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;9  5/8 ;;10  1/8 ;;10  5/8 ;;11  1/8 ;;11  5/8 ;;12  1/8 ;;;;;;;;;;;;;;;;;
S;ALTO DE PUÑO RIB;;C;CRITICA;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;
T;LARGO DE PUÑO RIB;;C;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;;;;;;;;;;;;;;;;
W;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL DELANTERO Y ESPALDA;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;
Z;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;13  7/8 ;;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO ;;C;CRITICA;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR ;;C;CRITICA;;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  7/16;;23  1/2 ;;;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR E INTERIOR;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR ;;C;CRITICA;;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  7/16;;23  1/2 ;;;;;;;;;;;;;;;;;
A11;LARGO DE TAJO DELANTERO;;P;CRITICA;;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEDIDA ADICIONAL PARA DELANTERO SIN TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA ;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;
W1;LARGO DE PECHERA ;;C;CRITICA;;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
