;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;MOLDE TIENE PARA 5.5 AL ANCHO DESDE HOMBRO HASTA FALDON ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;PERO COMO LO COORDINADO CON MARIA SE COLOCO  5% COMO DIGITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
