C;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;19 11/16;;21  3/16;;22 11/16;;24  3/16;;25  3/16;;26  3/16;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  5/16;  5/16;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  7/8 ;;5  1/8 ;;5  3/8 ;;5  5/8 ;;5  7/8 ;;6  1/8 ;;6  3/8 ;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7  3/4 ;;8  1/4 ;;8 13/16;;9  5/16;;9 13/16;;10  5/16;;10  3/4 ;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;30  1/4 ;;31      ;;31  3/4 ;;32  1/2 ;;33  1/4 ;;34      ;;34  3/4 ;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  5/16;  5/16;7  3/4 ;;8      ;;8  3/16;;8  7/16;;8  5/8 ;;8  7/8 ;;9  1/8 ;;;;;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;8 11/16;;9  3/16;;9  5/8 ;;10  1/8 ;;10  5/8 ;;11  1/8 ;;11  9/16;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8  9/16;;8 15/16;;9  5/16;;9 11/16;;10  1/16;;10  7/16;;10 13/16;;;;;;;;;;;;;
N;ANCHO DE MANGA(BICEP);;P;CRITICA;  3/8 ;  3/8 ;16  3/16;;17  3/16;;18  3/16;;19  3/16;;20  3/16;;21  3/16;;22      ;;;;;;;;;;;;;
O;BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13 13/16;;14 11/16;;15  9/16;;16  1/2 ;;17  1/2 ;;18  1/4 ;;19  1/16;;;;;;;;;;;;;
P;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;
Q;LARGO DE CUELLO;;C;CRITICA;;;20  3/8 ;;21  1/8 ;;21  7/8 ;;22  5/8 ;;23  7/16;;24  3/16;;25      ;;;;;;;;;;;;;
R;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
S;LARGO DE TAPETE CUELLO;;C;CRITICA;;;12  3/8 ;;12  5/8 ;;12  7/8 ;;13  1/8 ;;13  7/16;;13 11/16;;14      ;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  1/8 ;;19  7/8 ;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;15  7/8 ;;16  5/8 ;;17  3/8 ;;18  1/8 ;;18  7/8 ;;19  5/8 ;;20  1/2 ;;;;;;;;;;;;;
5;ANCHO FALDON ESPALDA;;P;CRITICA;;;18  1/2 ;;20      ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;25  3/8 ;;26  3/8 ;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRITICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEDIDAS ADICIONALES PARA DELANTEROS CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;-----------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
