D;SISA RECTA ESPALDA ;;P;CRITICAL;;;;;7  9/16;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPAL. Y DELANT.  EN PUNTA SISA;;P;CRITICAL;  3/8 ;  3/8 ;;;23  9/16;;25  9/16;;27  9/16;;;;;;;;;;;;;;;;;;;
F;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICAL;;;;;10  5/8 ;;10  5/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;
G;ANCHO DE CINTURA ESPALDA Y DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;23  3/8 ;;25  3/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDÓN ESPALDA Y DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;25  3/8 ;;27  3/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;;  1/4 ;;;23      ;;23  1/2 ;;24      ;;;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO DELANTERO;;P;CRITICAL;;  1/4 ;;;24  5/8 ;;25  1/8 ;;25  5/8 ;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO ;;P;CRITICAL;;;;;11  5/8 ;;12  1/8 ;;12  5/8 ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO ;;P;CRITICAL;;;;;1 15/16;;2      ;;2  1/16;;;;;;;;;;;;;;;;;;;
M;SISA RECTA DELANTERO ;;P;CRITICAL;;;;;6 15/16;;7  5/8 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;
O;UBICACIÓN DE CINTURA DELANTERO;;P;CRITICAL;;;;;11  1/2 ;;11  1/2 ;;11  1/2 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA DE SISA;;C;CRITICAL;;;;;31  1/8 ;;32  3/4 ;;34  1/2 ;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA DE SISA;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA DE ESCOTE FRENTE;;C;CRITICAL;;;;;19  1/8 ;;19  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA DE ESCOTE FRENTE ;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;;;17  5/8 ;;18  1/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
