C;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;24  3/4 ;;26  3/4 ;;28  3/4 ;;30  3/4 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;7  1/4 ;;8      ;;8  3/4 ;;9  7/16;;;;;;;;;;;;;;;;;;;
F;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;8  1/2 ;;8 11/16;;8  7/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;
G;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;6  1/4 ;;6  7/16;;6  9/16;;6 11/16;;;;;;;;;;;;;;;;;;;
H;LARGO ESPALDA PTO + ALTO A BORDE FALDON;;P;CRITICA;  5/16;  1/4 ;29  3/16;;29 11/16;;30  3/16;;30 11/16;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  5/16;;16  5/16;;17  5/16;;18  5/16;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;8  1/4 ;;9      ;;9  3/4 ;;10  3/8 ;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;19      ;;19  3/8 ;;19  3/4 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;15  3/4 ;;17  7/16;;19  1/16;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;9  5/8 ;;10  1/4 ;;10  7/8 ;;11  1/2 ;;;;;;;;;;;;;;;;;;;
P;LARGO DE  CUELLO  ;;C;CRITICA;;;24 13/16;;15  7/16;;26  1/16;;26  3/4 ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO COLLARETA;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ;;C;CRITICA;;;13  7/8 ;;14  3/8 ;;14  3/4 ;;15  3/16;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
T;ALTO DE SHIR TAILL;;P;CRITICA;;;3 15/16;;3 15/16;;3 15/16;;3 15/16;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OBSERVACIONES :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TENER EN CUENTA QUE LA ESPALDA ES 3/8 MAS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEQUEÑO QUE EL DELANTERO EN LOS COSTADOS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;8      ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
