C;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/16;8 3/4;;9  5/16;;9 13/16;;10  3/16;;10 5/8;;11  5/16;;12      ;;;;;;;;;;;;;
D;ANCHO DE PECHO EN SISA ESPALDA ;;P;CRITICA;  3/16;  3/16;10 5/8;;11. 1/8;;11 5/8;;12 3/8;;13 1/8;;14 3/8;;15 5/8;;;;;;;;;;;;;
E;ABERTURA DE FALDON ESPALDA ;;P;CRITICA;  3/16;  3/16;10 1/8;;10 5/8;;11 1/8;;11 7/8;;12 5/8;;13 7/8;;15 1/8;;;;;;;;;;;;;
F;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;29  5/16;;30  5/16;;31  5/16;;32  5/16;;33  5/16;;34  5/16;;35  5/16;;;;;;;;;;;;;
G;LARGO EN CENTRO ESPALDA;;P;CRITICA;  3/16;  3/16;27  7/16;;28  7/16;;29  7/16;;30  7/16;;31  7/16;;32  1/4 ;;33  1/8 ;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;6  1/4 ;;6  1/2 ;;6 3/4;;7      ;;7. 1/4;;7 3/4;;8. 1/4;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;3.125;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;4  1/8 ;;;;;;;;;;;;;
J;LARGO DE TAJO PECHERA;;P;CRITICA;;;4  3/4 ;;5      ;;5      ;;5  1/4 ;;5  1/4 ;;5 1/2;;5 1/2;;;;;;;;;;;;;
K;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  3/16;16 15/16;;17 11/16;;18  7/16;;19  7/16;;20  7/16;;21 15/16;;23  7/16;;;;;;;;;;;;;
L;ANCHO DE PECHO EN SISA DELANTERO ;;P;CRITICA;  3/16;  3/16;20  7/16;;21  7/16;;22  7/16;;23 15/16;;25  7/16;;27 15/16;;30  7/16;;;;;;;;;;;;;
M;ABERTURA DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/16;19  7/16;;20  7/16;;21  7/16;;22. 15/16;;24  7/16;;26 15/16;;29  7/16;;;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  1/4 ;7  1/16;;7  9/16;;8  1/8 ;;8  1/2 ;;8 15/16;;9 11/16;;10  3/8 ;;;;;;;;;;;;;
Ñ;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27. 7/16;;28. 7/16;;29. 7/16;;30. 7/16;;31. 7/16;;32. 7/16;;33. 7/16;;;;;;;;;;;;;
O;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;9  1/8 ;;9 3/4;;10 3/8;;10 7/8;;11 3/8;;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;16  1/16;;16 15/16;;17  3/4 ;;18  5/8 ;;19 5/8;;20 15/16;;22 1/2;;;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;13 1/4;;14 1/8;;15  1/16;;16      ;;16 15/16;;18  7/16;;19 15/16;;;;;;;;;;;;;
R;LARGO DE CUELLO;;P;CRITICA;  3/16;  3/16;16  5/16;;16 15/16;;17 11/16;;18  1/4 ;;19      ;;20  1/4 ;;21  5/8 ;;;;;;;;;;;;;
S;ANCHO DE CUELLO;;P;CRITICA;  3/16;  3/16;1  1/2 ;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1  1/2 ;;;;;;;;;;;;;
T;LARGO DE PECHERA SUPERIOR / INFERIOR;;C;CRITICA;;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;;;;;;;;;;;;
U;ANCHO DE PECHERA SUPERIOR / INFERIOR;;C;CRITICA;;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;;;;;;;;;;;;
V;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;9  7/8 ;;10  1/8 ;;10  1/2 ;;10 11/16;;11  1/16;;11  9/16;;12  3/16;;;;;;;;;;;;;
W;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;MODELISTA: MAGALY CASTAÑEDA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
