B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  7/16;  7/16;17  7/8 ;;18  7/8 ;;20  1/8 ;;21  5/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  7/16;  7/16;19;;20;;21  1/4 ;;22  3/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  7/16;  7/16;14  3/4 ;;15  1/4 ;;15  7/8 ;;16  5/8 ;;17  5/8 ;;;;;;;;;;;;;;;;;
D1;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;15  3/16;;15 11/16;;16  5/16;;17  1/16;;18  1/16;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;6  5/8 ;;7;;7  3/8 ;;7  3/4 ;;8  1/8 ;;;;;;;;;;;;;;;;;
E1;SISA RECTA  ESPALDA;;P;CRITICA;;;7  5/8 ;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  5/16;;5  1/2 ;;5  3/4 ;;6;;6  1/4 ;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3;;3  1/8 ;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/16;;1  7/16;;1  7/16;;1  7/16;;1  7/16;;;;;;;;;;;;;;;;;
J;LARGO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  1/4 ;25  3/8 ;;25  3/4 ;;26  3/16;;26  1/2 ;;26  7/8 ;;;;;;;;;;;;;;;;;
K;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  7/16;13;;13  3/4 ;;14  1/2 ;;15  1/2 ;;17  1/16;;;;;;;;;;;;;;;;;
L;ANCHO DE BOCA DE MANGA;;P;CRITICA;  7/16;  7/16;8  7/16;;8 11/16;;8 15/16;;9  1/4 ;;9  1/2 ;;;;;;;;;;;;;;;;;
M;LARGO DE CUELLO;;C;CRITICA;;;13 15/16;;14 11/16;;15  7/16;;16  3/16;;16 15/16;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;
O;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;12  5/8 ;;;;;;;;;;;;;;;;;
P;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;5;;5;;5;;5;;5;;;;;;;;;;;;;;;;;
2;ANCHO MEDIO PECHO DELANTERO;;P;CRITICA;  7/16;  7/16;13  1/4 ;;13  3/4 ;;14  3/8 ;;15  1/4 ;;16  3/8 ;;;;;;;;;;;;;;;;;
3;ALTO MEDIO PECHO ESPALDA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;
4;ANCHO MEDIO PECHO ESPALDA;;P;CRITICA;  7/16;  7/16;14;;14  1/2 ;;15  1/8 ;;16;;17  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;OJO: PRENDA COMO CONTRAMUESTRA EN LOS CODIGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"101-154-171 ESTA MAS 1/8""TOTAL SE TRABAJADO SIN % PARA LA ULTIMA FACE";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PARA LA PRODUCCION SE CONSIDERO +1/8 COMO MOLDE TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PARA ESTE MODELO DE PRENDA CORRDINADO CON FACIANO NO SE CONSIDERA PLANTILLA DE MARCAR PIQUETE EN CUELLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;SOLO SE CONSIDERA EN CENTRO DELANTERO PIQUETE  POR SER CUELLO MOCK Y TIENE COSTURA EN CENTRO ESPALDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
