A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;9  1/16;;9  5/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;2  1/8 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBROS ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18  3/4 ;;19  1/4 ;;19  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICAL;;;;;10      ;;10  1/2 ;;11      ;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;26  5/16;;28  5/16;;30  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;28  3/8 ;;30  3/8 ;;32  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;29  3/16;;29 13/16;;30  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;7  3/8 ;;7  1/2 ;;7 11/16;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBROS DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;17  1/2 ;;18      ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICAL;;;;;9  1/8 ;;9 13/16;;10  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;28  3/4 ;;29  3/8 ;;30      ;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;25  3/4 ;;25  7/8 ;;26      ;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;18  5/8 ;;20      ;;21  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;10  1/2 ;;11      ;;11  9/16;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE;;C;CRITICAL;;;;;26  7/16;;27  1/16;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;25  1/2 ;;26  1/8 ;;26 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO ;;C;CRITICAL;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ;;C;CRITICAL;;;;;15  5/8 ;;16      ;;16  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE ;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
E1;ANCHO DE PECHO DELANTERO;;P;CRITICAL;;;;;27  1/4 ;;29  1/4 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
F1;ANCHO DE FALDON DELANTERO;;P;CRITICAL;;;;;27  1/2 ;;29  1/2 ;;31  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
