B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  3/16;;29  3/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  5/16;  5/16;13  3/16;;13  9/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  5/16;  5/16;13  9/16;;13 15/16;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;12 1/2;;13  5/16;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;13      ;;13 13/16;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  3/8 ;.375;24 15/16;;26 11/16;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;.375;27 1/4;;29    ;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;8 3/8;;8 5/8;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;7  5/16;;7  9/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8 3/8;;8 5/8;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;4 3/4;;4 7/8;;;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE CUELLO;;C;CRITICA;;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO CUELLO DE CUELLO;;C;CRITICA;;;26 3/4;;27 5/8;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;18 3/4;;19    ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE BANDA DE SISA;;C;CRITICA;;;1  9/16;;1  9/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE BANDA DE SISA;;C;CRITICA;;;23 1/2;;24 7/8;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
