C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/2 ;;18  1/2 ;;19  1/2 ;;21      ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/4 ;  1/4 ;13 11/16;;14  3/16;;14 11/16;;15  3/16;;16      ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  1/4 ;  3/8 ;5  7/8 ;;6  7/16;;6 15/16;;7  7/16;;8  1/4 ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;5  9/16;;5 13/16;;6  1/16;;6  5/16;;6  9/16;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;2  1/2 ;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3      ;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;24 11/16;;25  3/16;;25 11/16;;26  3/16;;26 11/16;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;14  3/8 ;;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;6  1/2 ;;7  1/16;;7  9/16;;8  1/16;;8  7/8 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6  1/16;;6  5/16;;6  9/16;;6 13/16;;7  1/16;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1      ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/4 ;  3/8 ;10  1/2 ;;10  3/4 ;;11      ;;11  1/4 ;;11  1/2 ;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN PTO SISA;;P;CRITICA;  3/8 ;  3/8 ;10  5/8 ;;11  5/16;;12  1/4 ;;12  7/8 ;;14      ;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  1/16;;9 13/16;;10  5/8 ;;11  3/8 ;;12  7/16;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;13  1/2 ;;14  1/4 ;;15      ;;15  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;
Q;LARGO CUELLO  CENTRO;;C;CRITICA;;;12  5/8 ;;13  3/8 ;;14  1/8 ;;14  7/8 ;;15  5/8 ;;;;;;;;;;;;;;;;;
R;ALTO DE  CUELLO;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE CUELLO;;C;CRITICA;;;11  1/2 ;;11  7/8 ;;12  1/4 ;;12  5/8 ;;13      ;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
