B;ANCHO DE HOMBRO ;;P;CRITICA;  3/8 ;  3/8 ;16      ;;16  1/2 ;;17      ;;17  1/2 ;;18  1/4 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE PECHO  ;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;
D;ANCHO DE CINTURA;;P;CRITICA;  3/8 ;  3/8 ;15      ;;16      ;;17      ;;18      ;;19  1/2 ;;;;;;;;;;;;;;;;;;
E;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;
F;ABERTURA ESCOTE;;P;CRITICA;;;10  7/8 ;;11  1/8 ;;11  3/8 ;;11  5/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;
G;CAIDA DE ESCOTE;;P;CRITICA;;;6  7/8 ;;7      ;;7  1/8 ;;7  1/4 ;;7  3/8 ;;;;;;;;;;;;;;;;;;
H;UBICACIÓN DE CINTURA;;P;CRITICA;;;15  1/2 ;;16      ;;16  1/2 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;
;ESPALDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;24  3/8 ;;24  3/4 ;;25  1/4 ;;25  7/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBORS;;P;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;16      ;;15  1/2 ;;16      ;;16  3/4 ;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO  ;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;
M;ANCHO DE CINTURA;;P;CRITICA;  3/8 ;  3/8 ;15      ;;16      ;;17      ;;18      ;;19  1/2 ;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;
Ñ;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  7/8 ;;2      ;;2  1/8 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;;;;
O;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;;;
Q;UBICACIÓN DE CINTURA;;P;CRITICA;;;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;
P;SISA RECTA ;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  3/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;
;MANGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO MANGA;;P;CRITICA;  3/8 ;  1/4 ;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;;;;;;;;;;;;;;;;;
S;ANCHO MANGA;;P;CRITICA;;;13      ;;13  5/8 ;;14  1/4 ;;15  1/4 ;;16  3/8 ;;;;;;;;;;;;;;;;;;
T;ANCHO BOCA MANGA;;P;CRITICA;;;11  1/8 ;;11  7/8 ;;12  5/8 ;;13  3/8 ;;14  3/8 ;;;;;;;;;;;;;;;;;;
;CUELLO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO CUELLO ;;C;CRITICA;;;33  3/8 ;;34  1/8 ;;35      ;;35  3/4 ;;36  5/8 ;;;;;;;;;;;;;;;;;;
V;ALTO CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;OJO: SOLO SE RENOMBRO DE SIGE = EN MEDIDAS ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
