A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 5/8;;28 5/8;;29 5/8;;30 5/8;;31 5/8;;32 5/8;;33 5/8;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20 1/4;;21 1/4;;22 1/4;;23 3/4;;25 1/4;;27 3/4;;30 1/4;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO -ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19 1/2;;20 1/2;;21 1/2;;23    ;;24 1/2;;27    ;;29 1/2;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 3/4;;17 5/8;;18 3/8;;19 3/8;;20 3/8;;22    ;;23 1/2;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6 7/8;;7 3/8;;7 7/8;;8 3/8;;8 3/4;;9 1/2;;10 1/4;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 5/8;;5 3/4;;6    ;;6 1/4;;6 1/2;;7    ;;7 1/2;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2 1/2;;2 5/8;;2 3/4;;2 7/8;;3    ;;3 1/4;;3 1/2;;;;;;;;;;;;;;;;;;
H;ANCHO DE TAJO DELANTERO;;P;CRITICA;;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;;;;;;;;;;;;;;;;;
I;LARGO DE TAJO DELANTERO EN COSTADO;;P;CRITICA;;;2 1/4;;2 1/2;;2 1/2;;2 3/4;;2 3/4;;3    ;;3    ;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29 1/2;;30 1/2;;31 1/2;;32 1/2;;33 1/2;;34 1/2;;35 1/2;;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18 3/8;;19 1/8;;19 7/8;;20 7/8;;21 7/8;;23 3/8;;24 7/8;;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;8 1/2;;9    ;;9 5/8;;10    ;;10 3/8;;11 1/8;;11 3/4;;;;;;;;;;;;;;;;;;
O;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7    ;;7 1/4;;7 1/2;;7 3/4;;8    ;;8 1/2;;9    ;;;;;;;;;;;;;;;;;;
P;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1 1/2;;1 1/2;;1 5/8;;1 5/8;;1 3/4;;1 3/4;;1 7/8;;;;;;;;;;;;;;;;;;
R;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9 3/8;;10    ;;10 5/8;;11 1/8;;11 5/8;;12 1/8;;12 5/8;;;;;;;;;;;;;;;;;;
S;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15 1/2;;16 1/2;;17 3/8;;18 1/4;;19 1/8;;20 3/4;;22 1/4;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14    ;;14 7/8;;15 3/4;;16 5/8;;17 1/2;;19    ;;20 1/2;;;;;;;;;;;;;;;;;;
U;LARGO SUPERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;15 3/4;;16 1/2;;17 1/4;;18    ;;18 3/4;;20    ;;21 1/4;;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO EXTERIOR E INTERIOR;;C;CRITICA;;;3    ;;3    ;;3    ;;3    ;;3    ;;3 1/4;;3 1/4;;;;;;;;;;;;;;;;;;
W;LARGO INFERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;14    ;;14 3/4;;15 1/2;;16 3/8;;17 1/8;;18 3/8;;19 3/4;;;;;;;;;;;;;;;;;;
X;LARGO SUPERIOR DE CUELLO INTERIOR;;C;CRITICA;;;16    ;;16 3/4;;17 1/2;;18 1/4;;19    ;;20 1/4;;21 1/2;;;;;;;;;;;;;;;;;;
Y;LARGO INFERIOR DE CUELLO INTERIOR;;C;CRITICA;;;14 1/4;;15    ;;15 3/4;;16 5/8;;17 3/8;;18 5/8;;20    ;;;;;;;;;;;;;;;;;;
Z;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;16 1/4;;17    ;;17 3/4;;18 1/2;;19 1/4;;20 1/4;;21 5/8;;;;;;;;;;;;;;;;;;
A1;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 7/8;;1 7/8;;;;;;;;;;;;;;;;;;
A3;LARGO DE BANDA INTERIOR;;C;CRITICA;;;16 1/2;;17 1/4;;18    ;;18 5/8;;19 1/2;;20 1/2;;21 7/8;;;;;;;;;;;;;;;;;;
A4;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 7/8;;1 7/8;;;;;;;;;;;;;;;;;;
A5;ANCHO DE PECHERA-SUPERIOR-INFERIOR;;C;CRITICA;;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 3/8;;;;;;;;;;;;;;;;;;
A6;LARGO DE PECHERA SUP-INFE  EN EL CENTRO;;C;CRITICA;;;4 1/8;;4 3/8;;4 3/8;;4 5/8;;4 5/8;;4 7/8;;4 7/8;;;;;;;;;;;;;;;;;;
A7;LARGO DE PECHERA SUP-INF EN COSTADO;;C;CRITICA;;;4 1/8;;4 3/8;;4 3/8;;4 5/8;;4 5/8;;4 7/8;;4 7/8;;;;;;;;;;;;;;;;;;
A8;ANCHO DE BOLSILLO;;C;CRITICA;;;4 1/2;;4 1/2;;4 3/4;;4 3/4;;5    ;;5    ;;5    ;;;;;;;;;;;;;;;;;;
A9;ALTO DE BOLSILLO;;C;CRITICA;;;6 1/4;;6 1/4;;6 1/2;;6 1/2;;6 3/4;;6 3/4;;6 3/4;;;;;;;;;;;;;;;;;;
B1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5 7/8;;6 1/8;;6 3/8;;6 5/8;;6 7/8;;7 1/4;;7 5/8;;;;;;;;;;;;;;;;;;
B2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15    ;;15 3/4;;16 1/2;;17 1/2;;18 1/2;;20    ;;21 1/2;;;;;;;;;;;;;;;;;;
B3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7 3/4;;8    ;;8 1/4;;8 1/2;;8 3/4;;9 1/8;;9 1/2;;;;;;;;;;;;;;;;;;
B4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15 1/2;;16 1/4;;17    ;;18    ;;19    ;;20 3/5;;22    ;;;;;;;;;;;;;;;;;;
C1;ALTO ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;1 1/4;;;;;;;;;;;;;;;;;;
C2;ANCHO ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;4 1/2;;4 1/2;;4 3/4;;4 3/4;;5    ;;5    ;;5    ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
