D;SISA RECTA ESPALDA;;P;CRITICA;  7/16;  1/2 ;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DEL -ESP EN SISA;;P;CRITICA;  1/2 ;  1/2 ;30  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/2 ;  3/8 ;33      ;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;29  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/2 ;  1/4 ;4  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  7/16;  1/2 ;9  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/2 ;  3/8 ;32      ;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  3/8 ;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICA;  1/2 ;  1/2 ;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;11  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO ;;C;CRITICA;;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE ;;C;CRITICA;;;13  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE PUÑO;;C;CRITICA;  3/8 ;  3/8 ;3  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE PUÑO;;C;CRITICA;  3/8 ;  3/8 ;10      ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MARGENES DE COSTURA :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ESCOTE CUELLO                                  1/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HOMBROS                                                  1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SISAS                                                             1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COSTADOS                                                1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEGADO DE PUÑO                                 3/8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BASTA DE FALDON                               3/8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
