COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO INERIOR;;P;CRITICA;  5/16;  1/4 ;19  9/16;;20  3/16;;21  1/16;;21 11/16;;22  9/16;;23  1/16;;23 13/16;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO-ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  5/16;;21  5/16;;22  5/16;;23 13/16;;25  5/16;;28 13/16;;31  5/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO-ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;28      ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO SUPERIOR DE DELANTERO INFERIOR;;P;CRITICA;  3/8 ;  3/8 ;15  5/8 ;;16  1/2 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;20  1/2 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO INFERIOR;;P;CRITICA;;;2  9/16;;2 11/16;;3  1/8 ;;3  3/8 ;;3 13/16;;4 15/16;;5  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CANESU DELANTERO;;P;CRITICA;;;8  7/16;;8 13/16;;8 15/16;;9  1/4 ;;9  7/16;;9 15/16;;10  3/16;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE HOMBRO CANESU DELANTERO;;P;CRITICA;;;16 13/16;;17  9/16;;18  5/16;;19  5/16;;20  5/16;;22  1/16;;23  9/16;;;;;;;;;;;;;;;;;;;;;;;
H;SISA RECTA CANESU DELANTERO;;P;CRITICA;  5/16; 1/4;6  3/16;;6  9/16;;6  3/4 ;;7      ;;7      ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/4 ;;5  3/8 ;;5  3/4 ;;5 15/16;;6  9/16;;6 15/16;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  9/16;;2 11/16;;2 13/16;;2 15/16;;3  1/16;;3  5/16;;3  9/16;;;;;;;;;;;;;;;;;;;;;;;
K;ANCHO INFERIOR DE CANESU DELANTERO;;P;CRITICA;;;15  5/8 ;;16  1/2 ;;16  7/8 ;;18      ;;18  7/8 ;;20  1/2 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CANESU ESPALDA;;P;CRITICA;;;10  5/16;;10 11/16;;10 13/16;;11  3/16;;11  5/16;;11 13/16;;12  1/16;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;16  3/8 ;;17  1/16;;18  1/16;;19  1/16;;20  1/16;;22  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;12  7/8 ;;13  3/4 ;;14  5/8 ;;15  9/16;;16  9/16;;18  7/16;;20      ;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  1/16;;9 11/16;;10  1/4 ;;10  3/4 ;;11  1/4 ;;11  5/8 ;;12  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/4 ;;6  7/8 ;;7      ;;7  5/16;;7  9/16;;8  1/8 ;;8  9/16;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO INTERIOR/BORDE SUPERIOR;;C;CRITICA;;;17  1/8 ;;17  5/8 ;;18  1/8 ;;18  7/8 ;;19  5/8 ;;20  7/8 ;;22  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO INTERIOR/BORDE INFERIOR;;C;CRITICA;;;16  1/8 ;;16  5/8 ;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  7/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO INTERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
P1;ANCHO DE CUELLO EXTERIOR/BORDE SUPERIOR;;C;CRITICA;;;16  7/8 ;;17  3/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  5/8 ;;21  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q1;ANCHO DE CUELLO EXTERIOR/BORDE INFERIOR;;C;CRITICA;;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  5/8 ;;20  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
R1;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;18  1/16;;18  9/16;;19  1/16;;19 13/16;;20  9/16;;21 13/16;;23  1/16;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
S1;ANCHO  DE BANDA EXTERNO;;C;CRITICA;;;17 13/16;;18  5/16;;18 13/16;;19  9/16;;20  5/16;;21  9/16;;22 13/16;;;;;;;;;;;;;;;;;;;;;;;
T1;ALTO DE BANDA EXTERNO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;6  1/8 ;;6  3/8 ;;6  3/8 ;;6  5/8 ;;6  5/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO PECHERA SUPERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;6  1/8 ;;6  3/8 ;;6  3/8 ;;6  5/8 ;;6  5/8 ;;6  7/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
1;ANCHO DE HOMBRO CANESU ESPALDA;;P;CRITICA;;;18  1/16;;18 13/16;;19  9/16;;20  9/16;;21  9/16;;23  5/16;;24 13/16;;;;;;;;;;;;;;;;;;;;;;;
2;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;6  7/16;;6  9/16;;6 11/16;;7      ;;7  1/4 ;;7 13/16;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
3;ANCHO INFERIOR DE CANESU ESPALDA;;P;CRITICA;;;15 13/16;;16  9/16;;17  3/16;;18  1/4 ;;19  1/4 ;;20  3/4 ;;22  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  9/16;;1  9/16;;1 11/16;;1 11/16;;1 13/16;;1 13/16;;1 15/16;;;;;;;;;;;;;;;;;;;;;;;
5;SISA RECTA CANESU ESPALDA;;P;CRITICA;;;8  1/8 ;;8  1/2 ;;8  5/8 ;;8  7/8 ;;8 15/16;;9  1/4 ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
6;LARGO DE BLOQUE DE CANESU DELANTERO;;P;CRITICA;;;10  1/2 ;;10  7/8 ;;11      ;;11  3/8 ;;11  1/2 ;;12      ;;12  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE HOMBRO DE BLOQUE DE CANESU DELANTERO;;P;CRITICA;;;19  3/8 ;;20  1/8 ;;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  1/2 ;;26  1/16;;;;;;;;;;;;;;;;;;;;;;;
8;ANCHO INFERIOR DE BLOQUE DE CANESU DELANTERO;;P;CRITICA;;;17  5/8 ;;18  1/2 ;;18  7/8 ;;20      ;;20  7/8 ;;22  1/2 ;;24      ;;;;;;;;;;;;;;;;;;;;;;;
9;ALTO DE TAPETE DE VENTZ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
10;LARGO DE TAPETE DE VENTZ;;C;CRITICA;;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
