A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;6  3/4 ;;7  1/8 ;;7  1/2 ;;7  7/8 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1 15/16;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  5/8 ;;18  5/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;9  5/8 ;;9 15/16;;10  1/4 ;;10  9/16;;11      ;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;21  3/16;;22 11/16;;24 11/16;;26 11/16;;28 11/16;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20 15/16;;22  7/16;;24  7/16;;26  7/16;;28  7/16;;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;34      ;;34  1/2 ;;35  1/2 ;;36  1/2 ;;37  1/2 ;;;;;;;;;;;;;;;;33  3/8 ;;33  7/8 ;;34  7/8 ;;35  7/8 ;;36  7/8 
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  1/8 ;;6  1/2 ;;6  7/8 ;;7  1/4 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/16;;3  3/16;;3  7/16;;3  9/16;;3 13/16;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 15/16;;17 15/16;;18 15/16;;19 15/16;;20 15/16;;;;;;;;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;8  3/4 ;;9  1/16;;9  1/2 ;;9  7/8 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;33  1/16;;33  9/16;;34  9/16;;35  9/16;;36  9/16;;;;;;;;;;;;;;;;32  1/2 ;;33      ;;34      ;;35      ;;36      
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  1/2 ;;25      ;;25  1/2 ;;26      ;;26      ;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;15  7/8 ;;16  5/8 ;;17  5/8 ;;18  3/4 ;;19  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10  3/16;;10 11/16;;11  3/16;;11 11/16;;12  3/16;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO;;C;CRITICA;;;16  1/4 ;;17      ;;17  3/4 ;;18  1/2 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PUÑO;;C;CRITICA;;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE PUÑO;;C;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
