;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;;;;;2X;;3X;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;;;;;;;8  1/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;;;;;;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;26  5/16;;28  1/16;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;;;;;;;11  9/16;;12  5/16;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;28  1/2 ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;29  1/8 ;;30  7/8 ;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;;;;;26  7/16;;27  3/16;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;;;;;;;8      ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;;;;;;;4  3/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;26      ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;;;;;;;10 13/16;;11  9/16;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;;;;;;;25  3/4 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;;;;;8  7/8 ;;8  1/2 ;;;;;;;;;;;;;;;;ESCALADO COMO PIDE EL CLIENTE ;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;21  5/8 ;;23  1/16;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;;;;;;;19  9/16;;20  5/16;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;;;;;;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ESPALDA;;C;CRITICA;;;;;;;;;13  7/8 ;;14  1/8 ;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESPALDA;;C;CRITICA;;;;;;;;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;;;;;;;4  1/2 ;;4  1/2 ;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;24  5/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;;;;;;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;;;;;25  3/8 ;;27  1/8 ;;;;;;;;;;;;;;;;;;;;;
5;ALTO DE BOLSILLO;;C;CRITICA;;;;;;;;;6  3/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;;;;;
6;ANCHO DE BOLSILLO;;C;CRITICA;;;;;;;;;5  1/2 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;
7;ANCHO ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;;;;;;;5  1/2 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;
8;ALTO  ENTRETELA VISTA BOLSILLO;;C;CRITICA;;;;;;;;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
