B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;2  7/16;;2  9/16;;2 11/16;;2 13/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16 15/16;;17  7/16;;17  7/8 ;;18  7/16;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;9  5/16;;9  9/16;;10  1/16;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;22 11/16;;23 13/16;;25 13/16;;27 13/16;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;23  7/16;;24 11/16;;26 15/16;;29  3/16;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;27  3/8 ;;28  1/8 ;;28 11/16;;29  3/16;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;7 15/16;;8  1/16;;8  5/16;;8  9/16;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  9/16;;3 11/16;;3 13/16;;3 15/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  3/16;;16 11/16;;17  3/16;;17 13/16;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;8  1/2 ;;8  3/4 ;;9  5/16;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;26  3/8 ;;27  1/8 ;;27  5/8 ;;28  3/16;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  1/4 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;19  1/4 ;;20 13/16;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16 13/16;;17  5/16;;18  7/16;;19  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE CUELLO;;C;CRITICA;;;20  3/8 ;;20 13/16;;21  1/2 ;;22  1/16;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE TAPETE ESPALDA;;C;CRITICA;;;14  3/4 ;;15      ;;15  5/16;;15 11/16;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
