B;ANCHO DE PUNTA DE PECHO;;P;CRITICA;;;26  1/2 ;;28      ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;18      ;;18  3/4 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;8  7/8 ;;9  5/16;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;CAIDA DE ESCOTE  DELANTERO;;P;CRITICA;;;6  5/8 ;;7      ;;7  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/8 ;29  3/8 ;;30  7/8 ;;33  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA ;;P;CRITICA;;;29  7/8 ;;30  5/8 ;;31  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE PUNTA DE PECHO ESPALDA;;P;CRITICA;  3/16;  3/8 ;25      ;;26  1/2 ;;28  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;17  1/4 ;;18      ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;9  3/4 ;;10  1/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8  7/8 ;;9      ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
LL;CAIDA DE ESCOTE ESPALDA ;;P;CRITICA;;;2  1/8 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/16;  3/8 ;27  1/4 ;;28  3/4 ;;31      ;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA;;P;CRITICA;;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO EN PUNTA MANGA;;P;CRITICA;  3/16;  3/8 ;18  3/8 ;;19  1/2 ;;21  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/8 ;17  3/8 ;;18  1/2 ;;20  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE TAPETE;;C;CRITICA;;;14  5/8 ;;15      ;;15  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE COLLARETA;;C;CRITICA;;;32  1/4 ;;33  3/16;;34  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
