Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;;;26  9/16;;;;26  9/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;9  1/4 ;;;;9  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;;;19  1/16;;;;20  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;18  1/8 ;;;;19  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;;;19 15/16;;;;20  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;;;1  3/4 ;;;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;;;23  1/8 ;;;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;;;1      ;;;;1      ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;;;4  5/16;;;;4  5/16;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;16  5/16;;;;16  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;;;16  7/8 ;;;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;5      ;;;;5      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
