C;ANCHO DE HOMBROS ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  7/8 ;;21  7/8 ;;22 7/8;;23 7/8;;25  3/8 ;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO  Y  ESPALDA;;P;CRITICA;;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  5/8 ;;9  5/16;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESP Y DEL;;P;CRITICA;  3/8 ;  3/8 ;21 3/4;;22 3/4;;23 3/4;;24 3/4;;26 1/4;;;;;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20 7/8;;21 7/8;;22 7/8;;23 7/8;;25 3/8;;;;;;;;;;;;;;;;;
G;LARGO  DESDE EL HPS ESPALDA Y DELANTERO;;P;CRITICA;  5/16;  1/4 ;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;;;;;;;;;;;;;;;;
H;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/16;;3  3/16;;3  5/16;;3  7/16;;3  9/16;;;;;;;;;;;;;;;;;
I;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  3/8 ;  1/4 ;6 7/8;;6 7/8;;6 7/8;;6 7/8;;6 7/8;;;;;;;;;;;;;;;;;
J;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;14 3/8;;15 1/4;;16 1/8;;16 7/8;;18 1/8;;;;;;;;;;;;;;;;;
K;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14 1/4;;15    ;;15 3/4;;16  1/2 ;;17 1/2;;;;;;;;;;;;;;;;;
L;LARGO DE CUELLO DELANTERO;;C;CRITICA;;;12      ;;12 3/8;;12 3/4;;13 1/8;;13 1/2;;;;;;;;;;;;;;;;;
M;ANCHO DE CUELLO DELANTERO;;C;CRITICA;;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;;;;;;;;;;;;;;;;
N;LARGO DE CUELLO ESPALDA;;C;CRITICA;;;6 13/16;;7  1/16;;7 3/8;;7 5/8;;7 15/16;;;;;;;;;;;;;;;;;
Ñ;ALTO DE CUELLO ESPALDA;;C;CRITICA;;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;2 1/8;;;;;;;;;;;;;;;;;
O;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;12  1/2 ;;12  7/8 ;;13  1/4 ;;13  5/8 ;;14      ;;;;;;;;;;;;;;;;;
P;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOLSILLO;;C;CRITICA;;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;;;;;;;;;;;;;;;;
R;LARGO DE BOLSILLO;;C;CRITICA;;;5  3/16;;5  3/16;;5  3/16;;5  3/16;;5  3/16;;;;;;;;;;;;;;;;;
S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
