B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;19 11/16;;20  3/8 ;;21  1/8 ;;21 13/16;;22  1/2 ;;23  1/4 ;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;8  1/2 ;;8 13/16;;9  1/8 ;;9  3/8 ;;9  5/8 ;;10      ;;10  3/8 ;;;;;;;;;;;;;;
E;ANCHO DE PECHO DEL -ESP EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/8 ;;21  1/8 ;;22  5/8 ;;24  1/8 ;;25  5/8 ;;27  1/8 ;;28  5/8 ;;;;;;;;;;;;;;
F;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;30      ;;30      ;;30  1/2 ;;31      ;;31  1/2 ;;32      ;;32  1/2 ;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20  1/16;;21  9/16;;23  1/16;;24  9/16;;26  1/16;;27  5/8 ;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;6  3/8 ;;6  3/8 ;;6  5/8 ;;6 15/16;;7  3/16;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  5/16;  1/4 ;2 13/16;;2 13/16;;3  1/16;;3  5/16;;3  9/16;;3 13/16;;4  1/16;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  3/8 ;;18  7/8 ;;19  5/8 ;;20  3/8 ;;21  1/8 ;;21  7/8 ;;22  5/8 ;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;7  1/2 ;;7 13/16;;8  1/16;;8  3/8 ;;8  5/8 ;;9      ;;9  3/8 ;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;29      ;;29      ;;29  3/8 ;;29  7/8 ;;30  3/8 ;;30  7/8 ;;31  3/8 ;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  5/16;  1/4 ;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  1/2 ;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;15      ;;16      ;;17      ;;18  1/4 ;;19  1/4 ;;20  5/16;;21  3/8 ;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14      ;;14  9/16;;15  3/16;;15  3/4 ;;16  3/8 ;;17      ;;17  3/8 ;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;16  3/4 ;;16  3/4 ;;17  1/2 ;;18  1/4 ;;19      ;;19  3/4 ;;20  1/2 ;;;;;;;;;;;;;;
Q;ALTO DE CUELLO ;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;
R;LARGO DE TAPETE ;;C;CRITICA;;;12  3/4 ;;12  3/4 ;;13  1/8 ;;13  9/16;;14      ;;14  5/16;;14  5/8 ;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
