C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;;;21  3/16;;21 15/16;;22 11/16;;23 11/16;;24 11/16;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;17  7/16;;17 15/16;;18  7/16;;18 15/16;;19  7/16;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  3/8 ;;;8  1/8 ;;8  1/2 ;;8  7/8 ;;9  5/16;;9  3/4 ;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;;;6  1/16;;6  5/16;;6  9/16;;6  3/4 ;;7      ;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;2 15/16;;3  1/16;;3  1/4 ;;3  1/2 ;;3 11/16;;;;;;;;;;;;;;;
I;"ANCHO DE MEDIO PECHO A 6 3/4"" DESDE HPS";;P;CRITICA;  7/16;  7/16;;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  3/8 ;;17  7/8 ;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;;;31 15/16;;32  7/16;;33  3/16;;33 15/16;;34 11/16;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;;;18  9/16;;19  1/16;;19  9/16;;20  1/16;;20  9/16;;;;;;;;;;;;;;;
L;"ANCHO DE MEDIO ESPALDA A 8  1/8"" DESDE HPS";;P;CRITICA;  7/16;  7/16;;;16  3/4 ;;17  1/4 ;;17  3/4 ;;18  1/4 ;;18  3/4 ;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  7/16;;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  9/16;;11      ;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;9  7/8 ;;10  1/8 ;;10  3/8 ;;10  5/8 ;;10  7/8 ;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;17  9/16;;18  5/16;;19  1/8 ;;19 15/16;;20  3/4 ;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;13  1/8 ;;13 15/16;;14 11/16;;15  1/2 ;;16  1/4 ;;;;;;;;;;;;;;;
S;ANCHO DE COLLARETA DE PRESILLA ESCOTE Y COSTADO;;C;CRITICA;;;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA DE PRESILLA ESCOTE;;C;CRITICA;;;;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA DE PRESILLA DE COSTADO;;C;CRITICA;;;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;
X;LARGO DE CUELLO EXTERIOR;;;;;;;;16  3/16;;16 15/16;;17 11/16;;18  7/16;;19  3/16;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL ESPALDA;;P;CRITICA;;;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;
Z;ABERTURA LATERAL DELANTERO;;P;CRITICA;;;;;4  1/8 ;;4  1/8 ;;4  1/8 ;;4  1/8 ;;4  1/8 ;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO INTERIOR;;C;CRITICA;;;;;16  7/16;;17  3/16;;17 15/16;;18 11/16;;19  7/16;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO EN CENTRO;;C;CRITICA;;;;;3  3/16;;3  3/16;;3  3/16;;3  3/16;;3  3/16;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR;;C;CRITICA;;;;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;;;;;;;;;;;;;;
A6;ALTO DE BANDA INTERIOR;;C;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
A7;ANCHO DE MEDIA LUNA;;;;  3/8 ;  3/8 ;;;6  1/4 ;;6  1/4 ;;6  1/4 ;;7      ;;7      ;;;;;;;;;;;;;;;
A8;ALTO DE MEDIA LUNA;;C;CRITICA;  1/4 ;  3/8 ;;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;;;;;;;;;;;;;;
;MEDIDAS ADICIONALES PARA DELANTEROS CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;;;3 11/16;;3 11/16;;3 11/16;;3 11/16;;3 11/16;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
W1;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;
X1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;
;CUELLOS Y BANDAS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUELLOS Y BANDAS  SE ADICIONAN PIQUETES DEORIENTACIÓN ,VER HOJA DE PIQUETES;;C;CRITICA;;;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;
