I;CAIDA DE CUELLO DELANTERO;;P;CRITICAL;;;;;3  9/16;;3 13/16;;3 15/16;;4  1/16;;4  5/16;;4  7/16;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICAL;  1/4 ;  1/4 ;;;12  5/16;;12 13/16;;13  5/16;;13 15/16;;14 11/16;;15  1/16;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICAL;;;;;6 15/16;;7  7/16;;7 15/16;;8  3/8 ;;8 15/16;;9  1/4 ;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICAL;  5/16;  1/4 ;;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  7/8 ;;27  1/2 ;;27  7/8 ;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICAL;;;;;17  3/4 ;;18  1/2 ;;19  1/8 ;;19 11/16;;20  9/16;;20 15/16;;;;;;;;;;;;;
7;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;18  1/8 ;;18  7/8 ;;19  7/16;;20  1/16;;20 15/16;;21  1/4 ;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICAL;;;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICAL;;;;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICAL;  1/4 ;  1/4 ;;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  1/2 ;;15  1/4 ;;15  5/8 ;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICAL;;;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICAL;  1/4 ;  1/4 ;;;12 11/16;;13  3/16;;13 11/16;;14  1/4 ;;15      ;;15  7/16;;;;;;;;;;;;;
5;LARGO DE TAPETE;;C;CRITICAL;;;;;13  1/4 ;;13  1/2 ;;13 13/16;;14  1/16;;14  7/16;;14  1/2 ;;;;;;;;;;;;;
6;ALTO DE TAPETE;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
8;LARGO DE SISA EN BORDE;;C;CRITICAL;;;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;20      ;;20  3/4 ;;;;;;;;;;;;;
9;LARGO DE SISA EN CENTRO;;C;CRITICAL;;;;;15      ;;16      ;;17      ;;18      ;;19  1/4 ;;20      ;;;;;;;;;;;;;
10;ALTO DE SISA;;C;CRITICAL;;;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
